STK_CD,CMP_NM,TRD_DT,ADJ_PRC,PREV_ADJ_PRC,ADJ_HIGH_PRC,PRC_CHG,HIGH_PRC_CHG,RPT_ID,RPT_TXT
9240,한샘,2024-07-12,61300,56000,61700,0.094642857,0.101785714,951036,"<b>한샘 (009240) </b><b>아쉬운 2Q 실적, 하반기 기대감 유효 </b><b>[건자재] </b>2Q 실적은 아쉽지만 시차의 문제로 해석. 1) 2025년 이후의 입주물량 축소 및 전세가 상승, 2) 주택담보대출 금리 인하, 3) 정부 규제 완화(스트레스 DSR, 신생아특례대출 대상 확대 등) 기반 주택거래량 회복세 지속 전망. 주택거래량 수혜 기대되는 유일한 업체. Valuation 부담은 실적 상향 전망 및 자사주(29.5%) 활용 가능성 등으로 만회 가능. 업종 탑픽 추천 <b>예상보다 긴 거래량- 실적 시차로 2Q 실적 부진. 하반기 개선 전망 </b>2Q24 IFRS 연결 매출액 5,021억원, 영업이익 136억원으로 영업이익 기준 컨센서스 하회 예상. B2B, 홈퍼니싱부문 양호한 실적 이어지나 리모델링 부문 실적 저조. 1) 서울 중심의 주택거래량 회복(1~5월 누적, 주택 YoY +14.9%/ 서울 33.0%, 지방 11.8%), 2) 높아진 주택가격으로 인한 소비자 가격민감도 확대, 3) 결과적으로 길어진 주택거래- 리모델링 시차가 원인 하반기로 갈수록 금리/규제완화/공급부족 등을 이유로 주택거래량 회복세 강화 전망. 동사 리모델링부문 실적 QoQ 증가 기대. 실제로 7월 들어 리모델링 사업부 실적 MoM 개선된 것으로 파악 B2B 실적 비중이 큰 타사와 달리 동사는 1) B2C 사업부문 비중이 75%로 크고, 2) B2B 대비 B2C 수익성이 높아(1Q OPM 홈퍼니싱 +6.7%, B2B 2.4%, 리하우스 -3.3%) 하반기에도 B2C 기반 이익 턴어라운드 예상 <b>Valuation & Risk </b>SOTP Valuation으로 산정한 TP 7.8만원, BUY 유지. 24F PER 20.1배로 경쟁사 대비 높으나 1) 차별적인 실적, 2) 6.5%의 배당수익률(사옥 매각차익 미포함), 3) 자사주 활용 가능성 등을 고려 시 Valuation 프리미엄 정당화 <b>ESG Insight </b><b>Analyst Comment </b>◆ 20년 온실가스 인벤토리 구축, 21년 Scope3로 산정 범위를 확대. 30년까지 40%, 50년까지 탄소중립 목표 추진 중 ◆ 지속적 모니터링을 통한 고객의 소리 모집으로 만족도 관리 시행. 상생펀드 운영으로 협력사 지원 시행 중 <b>Key Chart </b><b>투자의견 및 목표주가 추이 </b>"
47040,대우건설,2024-07-18,4250,4180,4965,0.016746411,0.187799043,951097,"<b>대우건설 (047040) </b><b>강화된 해외사업 vs 더딘 주택 회복 </b>체코 원전 외로도 협의 중인 수의계약 안건 많아 해외수주 성장 지속 가능. 그러나 매출액 비중 64% 차지하는 주택부문의 더딘 회복이 아쉬움. 주택시장 회복 기대감 높아지고 있으나 지방 위주로 진행될 PF 및 시행사 구조조정 고려 시 과거 대비 동사의 업황 회복에의 탄력성이 낮아졌을 가능성. 하반기 분양 및 주택수주 회복 속도 확인 필요 <b>2Q24 실적은 무난. 강해지는 해외부문이 긍정적 </b>2Q24 매출액 2.8조원, 영업이익 1,325억원으로 컨센서스 부합 예상. 1) 주택/건축 원가율 개선 지연, 2) 대형 현장 착공 지연 따른 해외 플랜트 매출 성장 둔화, 3) 베트남 개발수익 반영 축소 등이 YoY 실적 하락 원인 YTD 신규분양 6,900세대, 연간목표 40% 공급. 3Q 대형 현장 분양 예정에 있어 연간 1.8만세대 공급 가능할 전망. 과거 대비 분양물량 적지만 공사비 상승으로 인해 2025년 이후에도 10조원대 매출 지속 가능 기대 7/17일 체코 팀고리아 원전 수주 성공. 수주금액 확정되지 않았으나 1.5조원 내외로 추정(사업비 24조원 * EPC 비중 40% * 시공(C) 부문 15%). 체코 원전 수주는 1) 해외 원전시장 진출, 2) 수주지역 다각화, 3) 기존 해외사업 리스크(지역/수금 불확실성) 축소 측면에서 긍정적 현재 협의 중인 해외수주는 투르크메니스탄 비료, 이라크 항만, 리비아 수소 등 안건 다수 보유. 수주/착공 시점 예측 어려우나 높아지는 해외사업부 비중 확대되며 동사 실적 안정성 개선에 기여 수주 증가 반영하여 SOTP로 산정한 목표주가 5,300원으로 상향 <b>투자의견 및 목표주가 추이 </b><b>ESG Insight </b><b>Analyst Comment </b>◆ 기후변화대응위원회 설립 후 기후변화에 적극 대응. 22년 4월 CEO산하 CSO가 담당하는 조직으로 발족 ◆ 체계적 인재육성 위한 직무교육 시행 및 현장 안전 확보를 위한 다양한 프로그램 추진으로 안전문화 조성 노력 <b>Key Chart </b><b>투자의견 및 목표주가 추이 </b>"
58470,리노공업,2024-07-09,237000,223500,241500,0.060402685,0.080536913,951112,"<b>리노공업</b><b>No Doubt</b><b>Investment Point</b>AI 응용처 확대 수혜주: 미세화된 칩에 대한 대응이 경쟁력인 리노공업은 기존 사업 영역인 시스템 반도체 영역뿐만 아니라 메모리 반도체시장에서도 그 수요가 강해지고 있음. I/O 단자가 폭발적으로 늘어나면서 좁아지는 피치를 대응하기에는 포고 소켓의 포고 핀이 가장 효율적. 가장 미세화되고 고성능의 칩을 필요로 하는 AI 시장에서는 제조사가 들이는 비용에 비해 이익성이 높기 때문에, 비용보다도 성능이더 중요시되는 해당 시장에서 활약할 여지가 더욱 높다고 판단<b>최근 실적 및 이슈</b>스마트폰 업사이클의 도래: 전년부터 지속적으로 높아져온 시장의 눈높이에 주가는 단기적으로 부진할 수 있으나, 상대적인 성수기인 3분기가 다가오며 실적에 대한 기대감으로 반등 가능성 높을 것으로 판단. 기존 기대감이 낮은 편이었던 5G 시장에 대해서도 관심을 가질 필요. Digitimes Asia에 의하면 지난 1분기 미디어텍의 칩이 탑재된 5G 스마트폰의 판매량이 전년대비 52% 증가했는데, 이는 저가 모델 출시에 따른 출하량 개선에 기인이렇게 5G 시장 규모가 커지는 가운데 리노공업의 주요 고객사인 미국 모바일 칩 기업의 경우 상대적으로 고가 모델 시장을 타겟하고 있기 때문에 당사의 이익성 개선에 기여할 가능성 확대<b>실적 추정</b><b>리노공업의 제품을 필요로 하는 다양한 응용처와 테스트 영역</b><b>리노공업(058470.KQ) 재무제표</b>"
96770,SK이노베이션,2024-07-17,119700,113300,123200,0.056487202,0.087378641,951132,"<b>SK이노베이션 (096770) </b><b>SK이노베이션 - SK E&S 합병 주요 내용 </b><b>Buy(유지) </b>목표주가: 140,000원, 현재 주가(7/18): 115,900원 SK이노베이션은 SK E&S와 합병을 발표했으며 주식 기준 합병 비율은 1 11917417이다 이에 SK이노베이션은 신주 55299186주+58%를 추가 발행할 예정이다 또한 SK온은 SK엔텀 및 SK트레이딩인터내셔널과의 합병도 추진되었다 <b>SK이노베이션 - SK E&S 합병 </b>• 7/17일 SK이노베이션(합병존속회사)은 SK E&S(합병소멸회사)와 흡수합병을 발표. 합병 비율은 1:1.1917417로 SK이노베이션은 합병 후 신주 55,299,186주(+58%)를 발행해 ㈜SK에 교부 예정이며, 합병기일은 11/1일 • 합병 비율의 결정은 SK이노베이션: 보통주 기준시가, SK E&S: 자산가치와 수익가치 가중산술평균(표 1 참고)을 기준으로 삼았으며, 이를 근거로 산출된 SK이노베이션과 SK E&S의 시가총액은 각각 10.8조원, 6.2조원 • 합병 기대효과로 세 가지를 제시. 1) LNG 및 신재생에너지로의 Portfolio 강화, 2) 안정적인 재무/손익 구축, 3) 유관 사업 자산 및 역량 통합으로 경쟁력 강화 • ㈜SK는 SK이노베이션 신주 배정으로 인해 지분율이 36.2% → 55.9%로 증가하며 지배력 강화 <b>SK온 - SK트레이딩인터내셔널 - SK엔텀 합병 </b>• SK온은 SK이노베이션 100% 자회사였던 SK트레이딩인터내셔널, SK엔텀과 합병. 합병기일은 2024.11.1, 2025.2.1 • SK트레이딩인터내셔널 합병으로 배터리 사업의 원소재 조달 능력 강화 시너지가 기대되며, SK트레이딩인터내셔널과 SK엔텀 모두 안정적인 수익 창출 능력을 바탕으로 합병 후 SK온의 재무 부담 축소 가능 <b>운영 효율화와 시너지 창출(+), 주당 가치 희석(-)로 주가 영향 제한적 </b>• 2030년 이전 석유 수요 peak 도달 전망이 나오고 있는 상황에서 에너지전환의 교량 역할을 해줄 수 있는 LNG가 포트폴리오로 편입되었다는 점과 유가에 민감한 기존 사업에 안정성을 부여할 수 있다는 점이 긍정적. 또, 유관 사업으로 운영 효율화와 시너지 창출(EBITDA 기준 약 2조원) 기대 • SK온은 합병을 통해 수익 창출능력 확보할 것으로 전망돼 모회사의 출자 리스크 축소 및 2026년 상장 가시성 상승 • 합병 자체는 재무 부담이 컸던 SK온뿐만 아니라, SK이노베이션 또한 안정성을 확보해 긍정적으로 평가할 수 있음. 다만, 합병 후 희석 비율(58%)에 따라 SK이노베이션의 BPS는 236,153원 → 198,605원으로 감소(1Q24 기준). 또한 SK E&S는 RCPS의 기초자산으로 부산도시가스 등 7개 도시가스사업을 설정했으므로, 주당 가치 희석은 더욱 커질 수 있음. 따라서, 향후 주가 방향성은 합병보단 SK온 수익성 제고에 달려 있을 것. 주가 하방은 주식매수청구권 가격으로 설정된 111,943원 예상 "
229640,LS에코에너지,2024-07-09,34200,30450,36300,0.123152709,0.192118227,950972,"<b>LS에코에너지 (229640.KS)</b><b>업황을 반영하는 2분기 실적</b>유럽과 미국 중심으로 확대되는 Underground HV 수혜와 회복되는 베트남 경기 등으로 컨센서스를 상회한 실적 기록. 전 사업부에 걸쳐 높은영업이익률을 기록해 양호한 업황을 보여줌<b>양호한 수익성으로 증명하는 중</b>LS에코에너지에 대해 투자의견은 Buy를 유지하고, 목표주가는 40,000원(기존37,000원)으로 8% 상향 조정. 투자의견을 유지하는 이유는 EHV(Extra HV)의수요 확대로 외형 성장과 수익성 개선이 나타나고 있기 때문. 2분기 제품별 영업이익률은 EHV(초고압) 15%, MV/LV(중압/저압) 5% 기록목표주가를 상향하는 이유는 영업가치에 적용하는 2025년 EBITDA를 +11% 조정했기 때문. LS CV 내 UTP(통신케이블), MV/LV, Busdact(전기배전시스템)부문의 영업이익은 각각 +9%, +70%, +13% 상향했는데, 북미의 견조한 건설경기에 따른 UTP 수요 개선과 회복되는 베트남의 전력시장 때문<b>계속해서 컨센서스를 상회하는 실적</b>연결기준 2분기 매출 2,326억원(+24% y-y), 영업이익 147억원(+148% y-y)을 기록해 컨센서스를 상회. 2024년 영업이익은 507억원(+72% y-y)로 추정하는데, 양호한 영업 환경 속 우호적인 구리가격과 환 효과 등도 더해지는 중LS VINA의 부문별 영업이익률은 HV 15.0%, MV/LV 5.3%, 가공선 21.5%로전반적으로 개선됐는데, 이는 1) 덴마크와 노르웨이向 EHV 수출, 2) 베트남 중-북부 연계 송전선로 납품 때문LS CV의 부문별 영업이익률은 UTP 9.8%, MV/LV 4.1%, Busdact 21.9%로, 1) UTP의 북미向 수출 증가로 인한 제품 믹스 개선, 2) 베트남 남부지역을 중심으로 회복되는 전력시장 때문<b>Summary</b>LS에코에너지는 베트남 1위 전력케이블 생산기업인 LS-VINA Cable&System Joint Stock(LS-VINA)과 베트남 전력및 통신케이블 생산법인인 LS Cable&System Vietnam(LSCV) 등을 종속회사로 두고 있는 LS그룹 계열의 외국기업 지배지주회사. 2023년 매출액은 7,310억원(-11% y-y)이며, 자회사별 매출액은 LS-VINA 7,251억원(연결조정 전 매출비중 77%), LSCV 2,183억원(23%) 등. 2023년 12월 사명을 LS전선아시아에서 LS에코에너지로 변경• 베트남 경기 회복으로 인한 인프라 투자 회복• 데이터센터, 전기차 등 추가적인 전력 수요의 증가"
234690,녹십자웰빙,2024-07-18,8180,7580,9770,0.079155673,0.288918206,950960,"<b>녹십자웰빙 234690 </b><b>라이넥과 필러로 중국 모멘텀 확대 </b><b>투자의견 매수, 목표주가 11,000원으로 커버 개시 </b>녹십자웰빙 커버리지를 개시한다. 목표주가는 2025년 예상 EPS에 Target PER 18배를 적용했다. 태반주사제를 통해 국내에서 독보적인 지위를 확보하고 있으며 중국 진출 하반기 가시화로 수출 모멘텀이 커질 전망이다. 또한 이미 중국 내 품목허가를 받은 히알루론산 필러 판매가 본격화되면서 태반주사제 외 새로운 성장동력이 될 것으로 보인다. 2022년에 체결한 유영제약을 통한 매출액이 올해 약 50억원으로 예상되는 가운데 신규 파트너인 화륜제약그룹의 판매가 더해지면 2024년 중국 필러 매출액만 70~80억원으로 추정, 2025년에는 100억 후반대 매출액이 예상된다. 여기에 2022년에 신공장 완공을 통해 CAPA를 기존 800~900억원에서 최대 7,000억원 규모로 생산 가능한 시설도 갖추고 있어 매년 탄탄한 성장이 예상된다.  <b>2Q Preview: 매출액 344억원과 영업이익 36억원 전망 </b>2분기 실적은 매출액 344억원(+13.9% YoY)과 영업이익 36억원(+27.4% YoY)으로 추정한다. 주사제는 전년 대비 21.8% 늘어난 277억원, 건기식은 동 기간 10% 감소한 67억원의 매출액을 예상한다. 주사제에서 라이넥 비중이 약 40%를 차지하고 있는데 국내에서 꾸준히 성장하고 있으며 중국향 필러 매출액도 일부 발생하면서 외형 성장을 견인할 전망이다. 건기식 B2C 부문 적자에도 라이넥 중심의 주사제 효과로 이익은 견조할 것으로 판단한다. <b>2024년 연간 매출액과 영업이익 각각 YoY +16%, +45% 예상 </b>2024년 연간 실적은 매출액 1,399억원(+16.0% YoY)과 영업이익 151억원(+44.5% YoY)으로 예상한다. 올해까지는 건기식 부문 적자가 이어짐에도 불구하고 수익성이 좋은 주사제 매출 성장과 고수익성 제품인 필러 매출 반영이 시작되면서 하반기로 갈수록 실적 폭이 더 커질 전망이다. 2025년 추정치에는 라이넥 중국 실적을 제외했으며 연내 허가 시 실적 성장 폭은 더 커지고 신공장 풀가동과 함께 원가 개선도 가능해진다. 현재 중국 모멘텀이 커지고 있어 본격적인 주가 상승을 기대한다. <b> [ 녹십자웰빙 234690 ] </b>"
337930,브랜드엑스코퍼레이션,2024-07-10,8520,8310,9140,0.025270758,0.099879663,951082,"<b>브랜드엑스코퍼레이션 </b><b>(337930) </b>8,340 원(07/18) <b>2Q24 Preview: K-레깅스가 간다 </b>244 (십억원) ◼ 2Q24E 매출액 681억원(+14.6%, 이하 yoy), 영업이익 79억원(+20.9%), OPM 11.6%(+0.6%p) 전망 ◼ 2분기 중국 매출은 3분기 중국 매장 출점 물량 선인식분 추정 ◼ 2024년 중국 출점 매장 가이던스는 기존 40개에서 대형 평수 매장 20개로 감소. 2025년 매장수는 100개 유지 ◼ 2024.7.6 장춘 1호점 오픈, 7.20 천진 2호점 오픈 예정. 8~9월까지 지속적인 매장 출점 기대 ◼ 한중 모델로는 여자아이들의 중국인 멤버 우기 채용, 웨이보 팬수 940만명 보유 ◼ 리테일러 YYsports는 중국의 샤오홍슈, 위챗에서 홍보 시작, 샤오홍슈 장춘점 오픈 후기 포스팅 다수 업로드 되는 점 긍정적 ◼ 2024년 추정 중국 매출액 60억원(중국 대형 매장 20개 가정), 2025년 추정 중국 매출액 362억원(중국 매장 100개 가정) ◼ 2024년 해외 매출액 기여도 11%, 영업이익 기여도 23%/ 2025년 해외 매출액 기여도 20%, 영업이익 기여도 48% 추정 ◼ 2024E 매출액 2,722억원(+17.6%, 이하 yoy), 영업이익 221억원(+20.6%), OPM 8.1%(+0.2%p) 전망 ◼ 투자의견 ‘BUY’ 유지. 목표주가 11,000원으로 상향. 2025년 매장 점포수에 따른 실적 추정치 상향 29,312천주 9,140원 당기순이익 52주 일간 Beta 60일 일평균거래대금 31.7 배당수익률(2024E) PBR(배) EV/EBITDA(배) 브랜드엑스코퍼레이션우리사주 (외 1인) 영업이익(25) 32 44.3 54.1 53.6 - - - - - - - 2.0 1.7 2.2 - - - <b>브랜드엑스코퍼레이션(337930.KQ) 재무제표 </b>"
383220,F&F,2024-07-17,74000,58800,76400,0.258503401,0.299319728,951130,"F&F의 2분기 매출액은 4,039억원 (-0.4% YoY), 영업이익은 932억원 (-15.6% YoY, OPM 23.1%)으로 시장예상치를 소폭 하회할 전망이다. 국내 의류 경기 위축 영향이 크다. 국내: 안 좋다. 2분기 내수는 -9% YoY, 면세는 -17% 감소할 전망이다. 내수는 1)의류 소비 위축 영향과 2)기존 채널 내 섞여있던 다이고향 물량 조정 영향으로 감소할 수 밖에 없고, 면세도 다이고향 물량 조정 영향으로 부진할 전망이다. 중화권: 중국 소비 시장은 비우호적인 편이지만, 그래도 동사는 견조한 브랜드 수요 덕분에 양호한 성장률을 기록할 전망이다. 1분기 중국 법인 매출 +15% YoY 성장을 예상한다. 한편 현재 오프라인 매장 효율화 작업이 진행되고 있기 때문에 채널 수는 1분기와 같을 것으로 예상한다 (1,114개). 한편 홍콩 법인은 매출 -10% YoY 감소할 전망이다. 강화된 국가보안법 시행 영향으로 내수 경기가 위축되면서 매출이 감소할 것으로 예상한다.  동사는 공시를 통해 브랜드 디스커버리에 대한 중국 포함 11개 국가 내 사업권을 취득했음을 알렸고, 연내로 중국 내 1호점을 오픈할 예정이다. 그동안 동사의 주가는 내수 의류 경기 침체, 중국 성장성에 대한 피크아웃 우려 등 영향으로 투자심리가 약해지면서 부진한 흐름을 보였지만, 이번 라이선스 취득으로 2025년 이후 성장성에 대한 우려가 해소될 것으로 기대된다. 현재 주가는 Fwd12M 기준 6.1배 수준으로 밸류에이션 매력도가 돋보이며, 향후 중국 내 수요에 대한 시장 관심이 확대될 시점에 주가가 크게 반등할 가능성이 높다. 다만 중국 사업의 성장 전략, 브랜드 디스커버리에 대한 현지 수요를 확인하면서 접근할 필요는 있다. 투자의견 매수, 목표주가 100,000원을 유지한다.  "
