STK_CD,CMP_NM,TRD_DT,CLOSE_PRC,PRE_CLOSE_PRC,HIGH_PRC,PRC_RTN,HIGH_PRC_RTN,RPT_ID,ANL_DT,RPT_TXT,RPT_TXT_LEN,BRK_NM_KOR,BRK_TARGET_PRC,BRK_TARGET_PRC_DT,BRK_PREV_TARGET_PRC,RECOM_TYP_DT,RECOM_TYP_AVG,RECOM_TYP_MAX,RECOM_TYP_MIN,RECOM_TYP_MID,TARGET_PRC_AVG,TARGET_PRC_AVG_3_MONTHS_BEFORE,TARGET_PRC_MAX,TARGET_PRC_MIN,TARGET_PRC_MID,TARGET_PRC_DIFF,TARGET_PRC_CHG,TARGET_PRC_DT,RECOM_TYP_CNT,TARGET_PRC_CNT,TARGET_PRC_UP_1W,TARGET_PRC_DOWN_1W,TARGET_PRC_HOLD_1W,TARGET_PRC_NEW_1W,TARGET_PRC_UP_DOWN_1W
131290,티에스이,2024-07-26,50000,42850,50900,0.16686,0.187864644,955923,2024-08-06,NULL,NULL,대신증권,80000,2024-08-06,80000,2024-08-06,4,4,4,4,80000,77500,80000,80000,80000,0.92308,0,2024-08-06,1,1,0,0,1,0,0
140860,파크시스템스,2024-08-06,169400,153800,176600,0.10143,0.148244473,955888,2024-08-06,"<b>Company Note </b><b>파크시스템스 </b><b>(140860) </b><b>2Q24 Review: 호실적 지속 기대, 명확한 성장성 </b><b>투자포인트 및 결론 </b>- 2Q24 동사의 실적은 매출액 447억원(+74.0% qoq, +13.2% yoy), 영업이익 127억원(+2389.9% qoq, +25.6% yoy)를 기록하며 시장 컨센서스를 뛰어넘는 호실적을 기록 - 1Q24 예정되었던 장비 출고가 2Q24로 이연되면서 2-3대가 실적에 반영되고, 2Q24 신규 수주는 400억원 수준을 기록하며 양호한 신규 수주 흐름을 보였으며, 우호적인 환율 효과도 영업이익에 기여한 것으로 판단. 2Q24 산업용 장비는 약 15대가 출고된 것으로 파악됨 - 1Q24 신규수주 590억원을 반영하면 1H24 신규 수주는 990억원 수준임. 2Q24 수주잔고는 약 800억원 수준인 것으로 예상 <b>주요이슈 및 실적전망 </b>- 최근 SPIE 학회에서 발표된 AFM의 동향을 보면, 박막 증착이나 EUV 포토레지스트의 Shrinkage 등에서도 AFM을 채택하고 있으며, 3D IC 본딩 웨이퍼의 계측에서 Hybrid WLI를 채택하고 있음 - 동사의 NX-wafer는 향후 하이브리드 본딩용 TSV-Cu pad의 oxidation용에 적용될 예정이며, 현재 3D IC 본딩 웨이퍼의 최상단 실리콘 층을 AFM과 WLI를 통해 표면을 계측하기도 함. 또한 WLI를 통해 하이브리드 본딩상 Cu-Cu 패드의 들뜸 공간(VOIDS)을 계측하는 데에도 적용될 예정 - 신규 연구용 장비인 200mm 웨이퍼용 검사장비 역시 R&D에서 적용 확대될 것으로 전망되어 동사의 제품 적용 확장 가능성은 큰 것으로 파악됨 - 그에 따라 2024년 동사의 실적은 매출액 1731억원 (+19.5%yoy), 영업이익 420억원(+52.5%)을 기록할 것으로 전망 <b>주가전망 및 Valuation </b>- 이번 실적을 통해 2H24 실적은 기확보된 수주잔고를 기반으로 더욱 빛을 발할 것이고 매년 평균 20%의 매출 성장세를 입증할 수 있을 것으로 전망. 또한 EUV, 3D IC bonding 계측에 따른 동사의 장비 수요 증가, GAA 공정 본격화에 따른 동사의 AFM 및 EUV 마스크 리페어 장비 적용 확대, 향후 하이브리드 본딩 계측에서 동사의 하이브리드 WLI 적용 등이 기대되어 장기적인 성장세는 유효하다고 판단 ",NULL,현대차증권,210000,2024-08-06,210000,2024-08-06,4,4,4,4,215714.2857,212500,240000,200000,220000,0.2734,0,2024-08-06,7,7,0,0,7,0,0
140860,파크시스템스,2024-08-06,169400,153800,176600,0.10143,0.148244473,955975,2024-08-06,"<b>COMPANY </b><b>2024. 8. 6 </b><b>파크시스템스 (140860) </b><b>비바람은 거세지만 순항 중 </b>• 2분기 호실적을 기록. 현시점에서 이보다 중요한 것은 회사의 성장 로드맵. • Advanced Packaging은 수율 확보가 어려운 기술. 원자현미경의 기여 확대 예상. • 회사의 성장 로드맵은 보다 구체화. 긍정적 변화 방향성 감안 시 매수 접근 유효. <b>WHAT’S THE STORY? </b>투자 전략: 반도체 투자의 Sentiment를 악화시킬 수 있는 이벤트는 다수 발생했고, 주가의 조정 또한 거세게 나타나고 있다. AI 사이클의 확장 기대감은 여전히 유효하나, 단기 투자 심리가 취약해진 현 상황에서 재차 매수를 하기 위해선 성장에 대한 신뢰가 필요할 것이다. 당사가 파크시스템스에 대한 매수 의견을 유지하는 배경은 성장이 보다 구체화될 기반이 뚜렷해지고 있다는 점이다. 당장의 2분기 실적 호조도 중요하나, 현시점에서 중요한 것은 회사의 로드맵이고, 기술 변화의 수혜를 받을 수 있는 다양한 로드맵을 보유하고 있다는 점은 파크시스템스라는 주식을 매수할 수 있는 가장 큰 이유가 될 것이라 생각한다. 현재 기술의 한계를 극복하기 위한 노력으로 원자현미경에 대한 오더는 지속 늘어나고 있고, 그 저변은 전공정을 넘어 후공정으로 확대되고 있다. 이러한 긍정적 변화 방향성을 감안 시, 매수 접근이 가능할 것이라 생각한다. 목표주가와 매수 의견을 유지한다. 1) 후공정 기여 본격화: Blackwell 출시 지연 우려가 붉어지는 이유 중 하나는 Blackwell에 신규 적용되는 CoWoS-L의 불안정한 수율일 것이고, 이는 기술 난이도의 상승으로 생산 확대가 그만큼 어렵다는 징표일 것이다. 그렇다면 수율 안정화에 문제가 되는 영역을 파악하고, 근본적인 해결 방안을 찾으려는 노력은 지속 확대될 것이다. 이러한 니즈 속, Advanced Packaging향 장비 오더가 본격화되고 있다. 최대 0.07nm까지 계측 가능한 원자현미경이 기술의 한계를 돌파하는 데 기여할 수 있을 것이라 생각한다. • 하이브리드 본딩의 경우, 구리 표면 제어가 중요하다. 구리 표면의 두께가 정확하게 Align되어야 Bump 없이 균일하게 Bonding이 가능하기 때문이다. • 원자현미경은 최대 0.07nm까지 계측이 가능하며, 정밀 계측이 가능한 기술적 이점을 기반으로 하이브리드 본딩 공정에서 주요 솔루션으로 자리매김할 수 있을 것이라 생각한다. • 장비의 Throughput 개선: 반도체 공정 내 스텝 기여 확대 방향성은 여전히 유효하다. 신규 개발 중인 FX 시리즈(기존 NX 시리즈 대비 Throughput을 혁신적으로 개선)는 향후 Inspection 시장으로 시장 범위를 확대시킬 수 있는 기회로 작용할 것이라 생각한다. • NX-Mask: 주요 파운드리 고객사들과 추가 수주에 대한 논의가 지속되고 있고, 긍정적 방향성이 머지• 하이브리드 WLI: 전공정에서 새로운 기회가 창출되고 있고, 공정상 발생한 문제에 대한 정밀 분석을 통해 공정 효율성 개선에 기여 가능한 솔루션으로 도약할 가능성이 있다는 판단이다. • 매출액 447억원, 영업이익 127억원 (OPM +28.4%)로 컨센서스(Fnguide)를 각각 18%, 43% 상회했다. • 하이브리드 WLI 장비를 비롯하여 산업용 원자현미경의 출고가 정상적으로 이뤄졌고, 비용 증가를 효율적으로 제어한 영향인 것으로 판단된다. <b>Key Question. Advanced Packaging에서 원자현미경은 어떻게 기여할 수 있을까? </b>후공정은 전공정 대비 기술 표준이 덜 잡힌 시장이고, 그만큼 고객사별 맞춤 대응이 필요하다. 최근 패키징 기술이 고도화되며, 후공정이 파크시스템스의 새로운 기회요소로 부상하고 있고, Hybrid Bonding이 원자현미경 수요 성장의 Catalyst로 자리매김할 수 있을 것이라 생각한다. • Hybrid Bonding의 경우, 접착제 (Paste Material) 없이 구리 배선의 패드를 연결해야 하는 기술이며, Bonding이 성공적으로 이뤄지기 위해선 구리 표면을 정밀하게 제어해야 한다. 그렇지 않으면, 어떤 부분은 Hard Contact되고, 어떤 부분은 Soft Contact되는 문제가 발생할 수 있다. • Dishing Control이 중요하다는 의미이고, 0.07nm까지 계측 가능한 원자현미경이 이에 대한 궁극적인 • 현재 주요 파운드리 고객사들이 후공정 내 원자현미경을 신규 도입하고 있고, 기존 고객 외 다양한 후공정 업체로부터 테스트 문의가 들어오고 있는 것으로 추정된다. • 실리콘 인터포저 공정으로도 기술 활용의 범주가 넓어질 것으로 전망한다. 더 빠른 속도 구현을 위해 Via Hole의 개수는 지속 늘어날 것이고, Via Hole의 직경 축소 속, 수직 정렬도 계측 목적으로 원자현미경 활용이 새롭게 나타날 수 있다는 판단이다. <b>Compliance notice </b>",NULL,삼성증권,240000,2024-08-06,240000,2024-08-06,4,4,4,4,215714.2857,212500,240000,200000,220000,0.2734,0,2024-08-06,7,7,0,0,7,0,0
131290,티에스이,2024-08-06,41600,38800,44450,0.07216,0.145618557,955923,2024-08-06,NULL,NULL,대신증권,80000,2024-08-06,80000,2024-08-06,4,4,4,4,80000,77500,80000,80000,80000,0.92308,0,2024-08-06,1,1,0,0,1,0,0
95340,ISC,2024-08-06,47750,42550,48450,0.12221,0.1386604,955922,2024-08-06,NULL,NULL,대신증권,90000,2024-08-06,90000,2024-08-06,4,4,4,4,81250,118500,91000,68000,81000,0.70157,-0.17572,2024-08-06,8,8,1,4,2,1,-3
6280,녹십자,2024-08-06,140900,127900,142700,0.10164,0.115715403,955980,2024-08-06,"<b>녹십자 </b><b>하반기, 알리글로만 보자 </b><b>2Q24 매출액 4,174억원(-3.6% YoY), 영업이익 176억원(-25.7% YoY) </b>녹십자는 2Q24 매출액 4,174억원(-3.6% YoY), 영업이익 176억원(-25.7% YoY)을 기록하였다. 매출액은 컨센서스 대비 소폭 하회(8%)하였으나, 영업이익은 컨센서스 187억원 및 당사 추정치 181억원에 부합하였다. 혈액제제류 매출액은 907억원(-11.2% YoY)으로, 국내 745억원(-2.1% YoY), 해외 162억원(-37.7% YoY)이다. 하반기 알리글로 출시로 해외 혈액제제 제품 수급 조절 영향이 반영되었다. 하반기는 알리글로 수출로 다시 증가할 수 있을 것으로 보인다. 알리글로 생산 시 부산물로 발생되는 알부민에 대해서는 중국 국영 기업과 계약을 완료하여 알부민 공급처를 안정화하였다. 2Q24 백신 매출액은 865억원(-11.1% YoY)으로 국내 408억원(+3.3% YoY), 해외 457억원(-20.9% YoY)이다. 국내는 독감백신 물량이 증가된 영향이 반영되었고, 해외의 경우 경쟁사의 독감백신 저가 수주로 물량이 감소하였다. 2Q24 처방의약품 매출액은 1,019억원(+8.6% YoY)으로, 국내 882억원(-3.3% YoY), 해외 137억원(+77.9% YoY)이다. 이집트향 헌터라제 매출 증가(+92.8 YoY)로 해외 처방의약품 매출이 77.9% 증가하였다. 2Q24 기타(소비자헬스케어 등) 매출액은 316억원(+8.6% YoY) 으로, 국내 311억원(+11.9% YoY), 해외 5억원(-61.5% YoY)이다. <b>하반기, 알리글로의 시작이 좋다 </b>목표주가 170,000원, 투자의견 매수를 유지한다. 미국 주요 보험사 처방집 등재가 예상보다 빠르게 이뤄지고 있으며, 하반기 미국 사보험 시장 80% 커버리지(현재 50% 수준 예상)도 가능할 것으로 보인다. 7월 8일, 알리글로 초도 물량 출하가 완료되었으며, 8월 내 2차 물량 출하가 예상된다. 하반기 알리글로 매출 547억원이 더해지며 매출 및 이익 개선에 크게 기여할 것으로 보인다. 24년 매출액 1조 7,373억원(+6.8% YoY), 영업이익은 630억원(+82.7% YoY)이 예상된다. 24년 3분기부터 면역글로불린 알리글로의 실적이 반영되면서 동사의 이익 개선이 이뤄질 것으로 보인다. 현재 녹십자는 EV/EBITDA 14.7배 수준에 거래 중이다. 해외 Peer의 평균 EV/EBITDA 18배보다 낮은 수준이다. 녹십자는 전일주가가 9.9% 하락하였으나 이는 매크로 상황(미국 경기침체 우려)에 따른 하락이며, 펀더멘탈 이<b>녹십자 (006280) </b>",NULL,미래에셋증권,170000,2024-08-06,170000,2024-08-06,4,4,4,4,164000,143600,180000,150000,166000,0.16395,0.06034,2024-08-06,8,8,2,0,6,0,2
6280,녹십자,2024-08-06,140900,127900,142700,0.10164,0.115715403,955967,2024-08-06,"<b>녹십자(006280.KS) </b><b>효자품목으로 선방 </b><b>분석의 기본 가정 </b>• 고마진 품목의 제품믹스로 수익성 개선되었으나 자회사 적자전환에 당기순손실 기록 <b>2Q24 Review: 자회사 영향에 당기순이익 적자 </b>2분기 연결기준 매출 4,174억원(-3.6% yoy), 영업이익 176억원(-25.5% yoy)을 기록하며 컨센서스를 하회하였으며, 별도기준으로는 매출 3,106억원(-5.2% yoy), 영업이익 187억원(+5.1% yoy) 기록. 고마진의 독감백신(598억원)과 헌터라제(184억원) 매출 호조가 의료계 파업 및 하반기 알리글로 공급을 위한 수급 조절로 혈액제제 매출이 둔화된 영향을 상쇄, 수익성이 개선되며 전분기 대비 흑자전환함. 그러나 자회사 지씨셀이 2분기 영업손실 -27억원으로 적자전환 하며 당기순이익은 적자 기록. 판관비는 1,109억원으로 경상연구개발비가 소폭 감소하며 전년비 -5.3% 감소함. <b>차기 효자품목 알리글로: 하반기 큰 폭의 실적 개선 기대 </b>3분기 독감백신 매출 본격 발생, 헌터라제 러시아 매출 회복, 배리셀라(수두백신) NIP 매출에 더해 하반기 알리글로 매출 확대가 하반기 및 향후 실적 성장의 핵심 모멘텀이 될 전망임. 3대 메이저 PBM 중 2곳에 이미 등재를 완료하여 최소 50%의 시장에 커버리지를 확보하였고, 연내 남은 1곳의 PBM과 보험사 채널을 끼지 않는 단독 전문의약품(SP) 채널까지 계약 시 80% 이상의 SP 채널을 폭넓게 확보할 수 있을 전망임. 7월 초 선적된 초도물량으로 이미 처방 실적이 발생하고 있으며 공급망내 충분한 재고공급이 필요한 상황이므로 올해 회사가 제시한 600억원 수준의 매출 달성은 무난할 전망. 미국 IVIG 시장은 연평균 6% 이상 꾸준한 성장이 예상되어('24F $9.8B) 알리글로의 강점인 낮은 부작용(혈전색전증)이 부각될 시 빠른 시일내 두 자릿수 점유율도 기대할 수 있을 전망임. <b>투자의견 매수, 목표주가 180,000원으로 상향 </b>올해는 자회사 실적악화 영향이 불가피하나 25년부터는 헌터라제와 독감백신 등 백신류의 매출 성장에 중국向 알부민 공급 확대, 알리글로 미국 매출 본격화가 더해져 확실한 실적 성장이 예상됨. 2024년 실적 전망을 매출 1조 7,737억원, 영업이익률 3.6%로 상향 조정하였으며, 2025년 예상 EBITDA 1,600억원에 할인율 8.6%, 타겟 EV/EBITDA 17배를 적용하여 목표주가를 180,000원으로 상향함. <b>녹십자(006280.KS) 추정 재무제표 </b><b>Compliance Notice </b>",NULL,신영증권,180000,2024-08-06,140000,2024-08-06,4,4,4,4,164000,143600,180000,150000,166000,0.16395,0.06034,2024-08-06,8,8,2,0,6,0,2
6280,녹십자,2024-08-06,140900,127900,142700,0.10164,0.115715403,955927,2024-08-06,"<b>녹십자 </b><b>(006280.KS) </b>127,900 원(08/05) <b>2Q24P 실적 Review: 이자비용 증가, 연결자회사의 부진한 실적 </b>◼ 투자의견 BUY 및 목표주가 17만원 유지, 목표주가는 2026년 당기순이익을 현가화하여 Target P/E 30배 적용  ◼ 2분기 잠정 실적 발표: 당사 및 시장 컨센서스를 매출액 및 영업이익 모두 하회, 그러나 하반기 전망은 긍정적 ◼ 별도 기준 영업부문은 성장세로 전환되고 있다고 판단됨. 그러나 연결자회사 지씨셀(144510.KQ, Not Rated) 실적 부진으로 연결 영업이익은 별도 영업이익보다 감소, 이자비용 증가로 1분기에 이어 순이익 적자 지속 ◼ 별도 실적: 알리글로TM 미국 처방이 시작됨. 녹십자는 하반기에 알리글로TM 목표 매출액 600억원 달성 가능할 것으로 언급함. 연간 실적 가이던스 매출액 1.8조원, 영업이익 약 600억원을 유지함 ① 매출액: 독감백신 및 혈액제제 수급 조절에 따른 수출 성장 폭 기대치 하회, 국내 독감백신 매출 증가, 헌터라제 수출은 정상화 진행 중 ② 수익성: 영업이익은 흑자 전환하였으나, 순이익은 이자비용 증가로 감소 ◼ 하반기 관전 포인트: 알리글로 처방 증가 추이, 비영업부분 및 투자 부문(큐레보)의 비용 추이, 지씨셀 실적 ◼ 알리글로TM 목표 매출액 2024년 &gt;500억원. 2025년 ~1,500억원, 2026년 &gt;2,000억원, 2027년 &gt;3,000억원 제시  IG제제 시장의 성장성, 글로벌 peer 그룹들의 현황을 감안할 때 달성 가능성 높을 것으로 판단(7/24 자료 참고) ◼ 경영 효율화만 진행된다면 기업가치가 Re-rating 될 것  재무 건전성 강화, 투자 효율화가 진행되어야 할 것  52주 최고가 52주 일간 Beta 당기순이익 60일 일평균거래대금 -46.9 PBR(배) 국민연금공단 (외 1인) EV/EBITDA(배) 주가상승(%) 절대기준 8.4 13.5 9.7 (원, 십억원) - <b>녹십자 (006280.KS) 재무제표 </b>",NULL,유진투자증권,170000,2024-08-06,170000,2024-08-06,4,4,4,4,164000,143600,180000,150000,166000,0.16395,0.06034,2024-08-06,8,8,2,0,6,0,2
6280,녹십자,2024-08-06,140900,127900,142700,0.10164,0.115715403,955951,2024-08-06,"<b>녹십자 BUY(유지) </b><b>하반기 실적 개선 본격화 </b>영업이익 176억원, 시장기대치 부합: 연결기준 실적은 매출액 4,174억원(-3.6%YoY, +17.0%QoQ), 영업이익 176억원(-25.7%YoY, 흑전QoQ, OPM 4.2%)으로 DB추정 영업이익(170억원)에 부합하였다. 고마진의 남반구향 독감백신(351억원)과 헌터라제(184억원, +49.6%YoY, 38.3%QoQ) 매출 회복으로 전분기 대비 흑자전환하였다. 다만 하반기 알리글로 공급을 위한 혈액제제 수급 조절로 전년동기대비 실적은 부진하였다. 그럼에도 연간 실적은 매출액 1조 7,274억원(+6.2%YoY), 영업이익 560억원(+62.7%YoY, OPM 3.2%)을 달성할 것으로 전망된다. 알리글로 및 혈액제제 수출은 순항 중: 알리글로는 Cigna, United Healthcare 등 대형 Formulary에 등재 완료, 보험사 계열의 SP(Specialty Pharmacy) 및 대형 독립 SP와 계약을 순조롭게 체결하면서 미국시장의 커버리지를 늘리고 있다. 7월 초도 물량에 이어 추가 출하가 3분기내 이루어지며, 연간 580억원은 달성할 것으로 전망된다. 이와 함께 작년 브라질 장기공급계약과 7월 중국 화륜제약그룹과 체결한 알부민 등 혈액제제의 공급계약으로 900억원 이상 추가 매출이 발생할 것으로 예상된다. 2분기 변곡점을 지나 실적 기대: 3분기부터 녹십자 실적 개선은 본격화될 것으로 전망된다. 혈액제제에 이어 국내외 독감백신 견조한 성장, 2세대 수두백신 배리셀라주의 해외 입찰에 따른 공급, 그리고 헌터라제(헌터증후군 치료제)의 수출 회복까지 수출로 외형과 수익 개선이 본격화될 것이다. 이에 투자의견 Buy, 목표주가 15만원 유지한다. ",NULL,DB금융투자,150000,2024-08-06,150000,2024-08-06,4,4,4,4,164000,143600,180000,150000,166000,0.16395,0.06034,2024-08-06,8,8,2,0,6,0,2
6280,녹십자,2024-08-06,140900,127900,142700,0.10164,0.115715403,955881,2024-08-06,,NULL,다올투자증권,170000,2024-08-06,150000,2024-08-06,4,4,4,4,164000,143600,180000,150000,166000,0.16395,0.06034,2024-08-06,8,8,2,0,6,0,2
