STK_CD,CMP_NM,TRD_DT,CLOSE_PRC,PRE_CLOSE_PRC,HIGH_PRC,PRC_RTN,HIGH_PRC_RTN,RPT_ID,ANL_DT,RPT_TXT,RPT_TXT_LEN,BRK_NM_KOR,BRK_TARGET_PRC,BRK_TARGET_PRC_DT,BRK_PREV_TARGET_PRC,RECOM_TYP_DT,RECOM_TYP_AVG,RECOM_TYP_MAX,RECOM_TYP_MIN,RECOM_TYP_MID,TARGET_PRC_AVG,TARGET_PRC_AVG_3_MONTHS_BEFORE,TARGET_PRC_MAX,TARGET_PRC_MIN,TARGET_PRC_MID,TARGET_PRC_DIFF,TARGET_PRC_CHG,TARGET_PRC_DT,RECOM_TYP_CNT,TARGET_PRC_CNT,TARGET_PRC_UP_1W,TARGET_PRC_DOWN_1W,TARGET_PRC_HOLD_1W,TARGET_PRC_NEW_1W,TARGET_PRC_UP_DOWN_1W
337930,브랜드엑스코퍼레이션,2024-08-08,10630,8180,10630,0.29951,0.299511002,956978,2024-08-09,"<b>브랜드엑스코퍼레이션(337930) </b><b>2분기 영업이익 대폭 증가, 본격적인 성장은 이제 시작 </b><b>◎ 2Q24, 매출액 764억원, 영업이익 124억원 </b>- 동사 2분기 실적은 매출액 764억원(YoY 29%), 영업이익 124억원(YoY 90%)을 기록 - 시장 컨센서스(영업이익 79억원) 및 동사 전망치(영업이익 82억원)를 대폭 상회 - 기존 주력 제품군(우먼즈), 신규 카테고리(맨즈, 골프), 해외 수출(중국, 일본, 대만) 전 부문에서 높은 성장률 기록했다는 점을 주목 - 맨즈 부문은 비즈니스캐주얼 런칭 등의 효과로 매출액이 전년 대비 89% 증가했으며, 골프 부문은 새로운 고객군 확보 등을 통해 매출액 기준 전년 대비 142% 성장. 24년 골프 부문 매출액 300억원 전망 - 3분기 신규 매장 출점을 앞두고 공급을 시작한 중국 향 외에 일본 법인(2분기 매출액 기준 전년 대비 50% 성장) 및 대만 법인도 견조한 성장을 지속 <b>◎ 하반기 가속화되는 성장 모멘텀, 24년 영업이익 339억원 전망 </b>- 하반기 동사의 성장 모멘텀에 대한 기대감을 높일 필요가 있다는 판단. 기존 제품 대비 신규 카테고리 제품들의 FW 시즌에 따른 ASP 상승 효과가 클 것으로 전망. 특히 골프 부문은 오프라인 매장(1,2호점) 오픈을 통해 골프 브랜딩 강화 및 성수기 효과로 인한 추가적인 실적 성장을 기대 - 중국 시장 진출 본격화도 주목. 창춘 및 톈진에 이어 8월 1선 도시 중심으로 3,4호점 오픈을 전망. 모델로 기용된 ‘우기’를 통한 마케팅 효과도 기대됨에 따라 분기별 실적 기여도를 꾸준히 높일 것으로 전망 - 이에 동사 24년 실적 전망을 매출액 2,996억원(YoY 29%), 영업이익 339억원(YoY 86%)으로 상향. 해외 시장 성과를 보수적으로 반영한 25년 실적은 매출액 3,669억원(YoY 23%), 영업이익 455억원(YoY 34%)을 전망 - 실적 발표 이후 급등에도 현재 주가는 25년 기준 PER 9.1배. 높은 단기 주가 변동성 우려는 있으나, 아시아 애슬레저 시장 선도 업체의 높은 성장성에 주목이 필요한 시점 ",NULL,키움증권,NULL,2024-08-09,NULL,2024-08-09,4,4,4,4,14000,NULL,14000,14000,14000,0.22485,0.27273,2024-08-09,1,1,1,0,0,0,1
337930,브랜드엑스코퍼레이션,2024-08-08,10630,8180,10630,0.29951,0.299511002,957066,2024-08-09,"<b>브랜드엑스코퍼레이션 (337930) </b><b>고진감래, 숫자로 보답하다 </b><b>[섬유/의복] </b>국내 의류 소비가 부진한 와중에도 내수에서 두자리 성장률 보여주며 시장 평균을 크게 상회하는 브랜드가 바로 젝시믹스! 애슬레저 브랜드로서 국내 토종 브랜드 1등의 입지를 상반기 실적 통해 내수에서 한번 더 보증함과 동시에 중국 시장 진출로 해외 성장동력도 더해가는 중. 관심 필요 <b>내수 실적 초강세, 중국은 이제 시작! </b>2Q24 연결매출 764억원, 영업이익 124억원으로 전년동기대비 30%, 89% 증가해 당사 추정이익(90억원)과 시장 컨센서스(79억원)를 큰 폭 상회. 놀랍게도 내수 실적 호조가 어닝 서프라이즈 견인. 이밖에 중국 매출은 22억원 인식(중국 매장수 2개, 도매 수출 기준) 카테고리별로는 골프웨어 매출이 작년 130억원 → 2024년 상반기 124억원으로 전년동기대비 134% 성장. 맨즈웨어 매출은 작년 317억원 → 2024년 상반기 227억원으로 70% 성장. 우먼즈웨어 매출은 높은 한자리 성장 시현. 전 카테고리에서 시장을 압도하는 성장률 보여준 셈 7~8월에도 맨즈웨어 실적 강세 보이는 것으로 파악. 남성 피케셔츠나 팬츠류 성장 주효. 골프웨어는 계절적 비수기 지나 8~9월 F/W시즌 대응이 중요할 것으로 판단. 중국 사업은 3Q24 중으로 F/W시즌 수주 성과에 따라 매출 기여 높아질 것. 연말까지 중국 내 매장수 20개 목표 유지 <b>Valuation & Risk </b>시장 컨센서스 실적 추정치의 상향폭이 클 것으로 기대. 올해 영업이익 400억원 예상(vs. 컨센서스 영업이익 246억원). 올해 실적 기준 P/E 10배에도 못미쳐 투자 관심 필요 <b>투자의견 및 목표주가 추이 </b>",NULL,신한투자증권,NULL,2024-08-09,NULL,2024-08-09,4,4,4,4,14000,NULL,14000,14000,14000,0.22485,0.27273,2024-08-09,1,1,1,0,0,0,1
337930,브랜드엑스코퍼레이션,2024-08-08,10630,8180,10630,0.29951,0.299511002,957209,2024-08-09,"<b>브랜드엑스코퍼레이션 </b><b>(337930.KQ) </b><b>2Q24 Review: 국내만 이 정도 서프 </b>◼ 2Q24 매출액 764억원(+28.6%, 이하 yoy), 영업이익 124억원(+89.5%), OPM 16.2%(+5.2%p) 기록 ◼ 매출액, 영업이익 모두 당사 추정치 큰 폭 상회. 역대 최대 실적 달성 ◼ 2분기 젝시믹스 매출은 740억원(+31.9% yoy), 영업이익 119억원(+133.3%), OPM 16.1%(+7.0%p) 기록 ◼ 국내 실적 호조 주요 요인은 1) 단가 높은 골프웨어 및 맨즈 의류 매출 각각 전년대비 142%, +89%, 2) 2023년 집행했던 TV 광고비 기저 완화로 전체 판관비 전년대비 -4.8%p 감소 ◼ 2분기 중국 매출은 22억원 기록. 7월부터 오픈한 중국 매장 재고의 일부 인식. 하반기로 갈수록 점포 확대되며 매출 증가 기대 ◼ 2024년 중국 출점 매장 가이던스는 대형 평수 매장 20개 유지. 2025년 매장수는 100개 유지 ◼ 2024.7.6 장춘 1호점 오픈, 7.20 천진 2호점 오픈 예정. 8~9월까지 주요 도시 포함한 지속적인 매장 출점 기대 ◼ 2024년 추정 중국 매출액 85억원(중국 대형 매장 20개 가정), 2025년 추정 중국 매출액 362억원(중국 매장 100개 가정) ◼ 2024년 해외 매출액 기여도 11%, 영업이익 기여도 20%/ 2025년 해외 매출액 기여도 18%, 영업이익 기여도 43% 추정 ◼ 2024E 매출액 2,840억원(+22.7%, 이하 yoy), 영업이익 267억원(+46.0%) 전망 ◼ <b>브랜드엑스코퍼레이션(337930.KQ) 재무제표 </b>",NULL,유진투자증권,14000,2024-08-09,11000,2024-08-09,4,4,4,4,14000,NULL,14000,14000,14000,0.22485,0.27273,2024-08-09,1,1,1,0,0,0,1
337930,브랜드엑스코퍼레이션,2024-08-08,10630,8180,10630,0.29951,0.299511002,957302,2024-08-09,NULL,NULL,신한투자증권,NULL,2024-08-09,NULL,2024-08-09,4,4,4,4,14000,NULL,14000,14000,14000,0.22485,0.27273,2024-08-09,1,1,1,0,0,0,1
225570,넥슨게임즈,2024-08-01,28800,23800,30200,0.21008,0.268907563,957015,2024-08-09,"<b>적정주가 (12 개월) </b><b>넥슨게임즈 225570 </b><b>K-게임의 ‘웨스턴 드림’ 대장주 </b>.  2분기 영업이익은 -84억원으로 예상된 대로 밋밋한 실적 .  7월 2일 &lt;퍼스트 디센던트&gt; 출시되어 3분기 이후가 투자자 관심 사항 .  주 넥슨 3분기 동 게임 마케팅 본격화 예정. 일 25-30억 기존 추정 유지 .  내수/모바일 위주였던 타사와 달리 북미/유럽, PC/콘솔로 성과 드러나 매력적 .  탑다운(게임의 북미 진출) 및 바텀업(실적 성장) 측면에서 산업 내 매력도 가장 높아 <b>2분기 중요하지는 않지만 확인하자면 </b>2분기 넥슨게임즈의 매출 및 영업이익은 436억원(+0.4% YoY)과 84억원의 영업적자로 밋밋했다. &lt;블루 아카이브&gt;는 엔화 약세에도 불구하고 YoY 성장을 이어갔으나 국내가 주였던 &lt;히트2&gt;의 하락세가 컸다. 그러나 &lt;퍼스트 디센던트&gt;(이하 &lt;퍼디&gt;)가 7월에 출시, 변화가 반영되는 것은 3분기 이후로 2분기에 낙담할 필요는 없다. <b>K-게임 ‘웨스턴 드림’의 선봉장, 넥슨게임즈의 &lt;퍼디&gt; 성과 미리보기 </b>넥슨은 실적에서 차분기 가이던스를 제공하는데 일본 및 북미/유럽 &lt;퍼디&gt; 성과로 각각 74-96%, 88-107% 성장이 전망된다고 밝혔다. 특히 북미/유럽 내 강한 실적 기여를 기대했다. 게임 내 북미/유럽 사용자가, 콘솔 비중이 전체의 60% 이상이라는 점도 밝혔다. 넥슨 가이던스 참고 시 3분기 &lt;퍼디&gt;로부터 1,300억원에서 1,600억원 매출을 기대하는 것으로 보인다. 다만 이는 50% 이상 이연을 예상한 수치(이연 기간 18개월)로 총매출은 당사 기존 추정(일매출 25~30억원)을 유지한다. 당사는 주 넥슨이 서구권 레퍼런스 측면에서 &lt;퍼디&gt;의 장기 흥행에 대한 열망이 클 것으로 예상한 바 있다.(24.07.29 &lt;한국 게임에 드리운 ‘웨스턴 드림’&gt; 참조) 시즌1 업데이트 기점으로 마케팅 본격화를 전망했는데 넥슨은 YoY 250억원 마케팅 예산을 증액하며 &lt;퍼디&gt;에 활용될 것이라고 밝혔다. 성공적 업데이트로 장기 흥행의 초석을 다진다면 최근 주가 상승은 부담스럽지 않다. 당사가 추정하는 24/25년 PER은 17/10배에 불과하다. 아직 내년 이후 출시되는 신작을 반영하지 않은 수치로 &lt;퍼디&gt;가 예상대로 나올 경우 추가 상향 여지가 존재한다. 2010년대 중국이 소비재 모멘텀이었다면 2020년대 미국으로 옮겨왔다. 특히 게임은 엔터/미디어와 달리 수익에 대한 온전한 쉐어가 가능하다는 점에서 실적 연결성이 높다. 바텀업, 탑다운 두 측면에서 동사 매력도가 산업 내 가장 높다. &lt;던파&gt; IP에 집중된 수익 모델 다변화 측면에서도 필수적 250억원 YoY 증가. 당사는 8월 말 시즌1 업데이트 전후가 기점이 될 것으로 전망 <b>넥슨게임즈 (225570) </b>",NULL,메리츠증권,NULL,2024-08-09,NULL,2024-08-09,4,4,4,4,32625,16000,37000,25500,34000,0.13085,0,2024-08-09,4,4,0,0,4,0,0
112610,씨에스윈드,2024-08-08,62500,52700,62500,0.18596,0.185958254,957083,2024-08-09,,NULL,다올투자증권,92000,2024-08-09,65000,2024-08-09,4,4,4,4,81928.57143,80461.53846,97000,62000,80000,0.31086,0.12945,2024-08-09,14,14,9,0,4,1,9
112610,씨에스윈드,2024-08-08,62500,52700,62500,0.18596,0.185958254,957002,2024-08-09,"<b>COMPANY </b><b>2024. 8. 9 </b><b>씨에스윈드 (112610) </b><b>2Q24 review: 걱정이 기대감으로 바뀌는 순간 </b>• 씨에스윈드 2Q24 영업이익은 1,303억원으로, 컨센서스(401억원) 큰 폭 상회 • CSWO(하부구조물)가 단가 인상을 통해 영업이익 801억원(OPM 24%)을 기록한 가운데, 북미 타워 법인 호실적 및 이에 따른 AMPC(327억원) 인식으로 컨센서스 상회 • 가이던스 상향조정(2024년 매출 및 영업이익률 각각 기존 2.7조원 → 3조원, 기존 7% → 9%)에 따라 실적 추정치 상향조정. 목표주가를 85,000원으로 10.4% 상향 <b>WHAT’S THE STORY? </b>2Q24 연결 기준 매출액과 영업이익은 각각 1,303억원(q-q 흑자전환)으로, 영업이익은 컨센서스(401억원, Fnguide)를 224.9% 상회했다. 회사는 타워 사업부 실적 개선 및 CSWO 단가 인상을 반영하여 2024년 매출 및 영업이익률 가이던스를 각각 기존 2.7조 원 → 3조 원으로, 기존 7% → 9%로 상향조정했다. • CSWO(하부구조물, 前 블라트), OPM 24% 기록: 2분기 CSWO는 매출액 3,373억원, 영업이익 801억원(OPM 24%)을 기록했다. 지난 1분기 영업 적자 527억 원을 기록한 이후 발주처와 진행한 OSS(해상 변전소) 단가 인상 및 공사손실충당부채 환입 관련 협상 결과가 긍정적으로 나오며 한 분기만에 흑자로 전환했다. 이번 분기 실적에 반영된 협상은 OSS 관련 협상이며, 현재 해상풍력 터빈 하부구조물(모노파일, 트랜지션 피스) 단가 인상 관련 협상이 진행중이다. OSS 사업은 하반기부터 축소되고 하부구조물 사업 비중이 커질 것으로 전망되는 만큼, 하부구조물 단가 협상이 향후 CSWO의 실적에 중요한 포인트다. • 타워 부문, 점진적인 수익성 개선 기대: 타워 부문의 2분기 영업이익률은 9.7%를 기록하며 전분기 8.1% 대비 개선되었다. 다만, AMPC(327억원)를 제외한 영업이익률은 3.6%로, 전분기 3.8% 대비 소폭 하락했다. 이는 베트남/포르투갈법인의 해상풍력 설비증설 완공에 따른 감가상각비 증가 및 초기 생산성 부진이 영향을 미친 것으로 보인다. 다만, 지멘스 가메사 향 해상풍력 타워 생산이 올해 3분기부터 개시되었으며, 2025년부터 생산이 본격화될 것으로 기대되는 만큼 베트남/포르투갈 법인의 생산성 개선도 점진적으로 진행될 것으로 전망한다. 미국법인의 생산성 및 수익성은 점진적으로 개선되고 있으며, 2024년 연간으로 미드싱글의 영업이익률을 기록할 것으로 전망된다. 이에 따라 AMPC 금액도 늘어날 것으로 기대한다. 가이던스 달성을 위해서는 하부구조물 단가 협상이 필요: 동사의 상반기 누적 매출액 및 영업이익은 각각 1조 5,945억원, 1,208억원으로, 이번에 상향조정된 2024년 연간 실적 가이던스인 매출액 3조원, 영하부구조물 단가 인상이 이뤄지지 않으면 달성하기 어려운 상황이다. 현재 해상풍력 하부구조물의 초과만큼 가이던스 대비 다소 보수적으로 영업이익률을 추정하였다(OPM 2024E 7.8%, 2025E 8.6%). 추후 해상풍력 하부구조물 단가 인상 여부 및 그 정도에 따라 실적 추정치를 조정할 예정이다. 목표주가 85,000원으로 10.4% 상향: 실적 추정치 상향조정을 반영하여 목표주가를 기존 77,000원에서 85,000원으로 10.4% 상향조정(2025E EPS에 글로벌 터빈 제작사 2025E P/E 평균을 15% 할인한 18.6배 적용)한다. 하반기 동사 실적은 해상풍력 하부구조물 단가 인상 여부에 따라 큰 변동성을 보일 2025E P/E는 10.8배로, 글로벌 터빈 제조사인 Vestas(18.5배), Nordex(18.1배), GE Vernova(28.6배) 대비 <b>Compliance notice </b>",NULL,삼성증권,85000,2024-08-09,77000,2024-08-09,4,4,4,4,81928.57143,80461.53846,97000,62000,80000,0.31086,0.12945,2024-08-09,14,14,9,0,4,1,9
112610,씨에스윈드,2024-08-08,62500,52700,62500,0.18596,0.185958254,957050,2024-08-09,"<b>씨에스윈드 (112610) </b><b>2Q24 Review: 안개를 가르고 훈풍 </b>타워 부문 순조로운 성장. 하부구조물 부문도 블라트(Bladt) 사 인수 이후 단가 협상, 생산성 개선으로 정상화 흐름. 다만 단가 협상, 신규 수주 가시성을 점치기 어렵고 미국 대선 불확실성으로 조심스러운 접근 필요 <b>2Q24 Review: 하부구조물 발 서프라이즈 </b>2분기 매출 8,578억원(YoY +106%, 이하 YoY), 영업이익 1,303억원(+212%) 기록. 각각 시장 추정치를 20%, 225% 상회하는 서프라이즈. OSS 프로젝트 단가 인상 효과 덕분. 문제였던 OSS 프로젝트는 이제 끝 [타워] AMPC(생산 보조금)를 포함한 영업이익률은 약 10%(제외 시, 한 자리 수 중반). 미국 법인 인력 숙력도 상승, 노후 장비 교체로 생산성 개선 기대. 향후 증설은 미국 상황을 살펴보며 조심스럽게 진행 예정. 베트남, 포르투갈의 SGRE(지멘스 가메사) 향 PO(주문) 연내 체결 기대 [하부구조물] OSS(해상 변전소), TP(Transition Piece), MP(Monopile) 프로젝트 진행중. OSS와 마찬가지로 TP, MP에서도 단가 재협상중. 연내 협상 성공 시, 4분기에도 2분기처럼 이익 개선 효과 예상 <b>Valuation & Risk </b>투자 의견 ‘매수’, 목표 주가 96,000원 유지. 12개월 선행 EPS(주당순이익) 3,585원에 목표 PER(주가수익비율) 27.0배를 곱하여 계산. 목표 PER는 글로벌 터빈사 GE, Vestas 평균 PER 15% 할인 지난 7월 445억원 규모 교환사채 발행. 교환대상 주식수는 주식총수 대비 1.76%. 교환가액 1주 당 60,050원. 하부구조물 프로젝트는 2025년에 마무리. 2026년부터의 일감을 위한 추가 수주 필요 <b>ESG Insight </b><b>Analyst Comment </b>◆ 환경: 2030 RE100, 에너지 저감 및 에너지 효율화 추진 ◆ 사회: 안전한 작업환경 조성, 인권 존중 가치 강화, 품질 혁신 기반 고객 가치 창출 ◆ 지배구조: 기업지배구조 투명성 제고 <b>Key Chart </b><b>투자의견 및 목표주가 추이 </b>",NULL,신한투자증권,96000,2024-08-09,96000,2024-08-09,4,4,4,4,81928.57143,80461.53846,97000,62000,80000,0.31086,0.12945,2024-08-09,14,14,9,0,4,1,9
112610,씨에스윈드,2024-08-08,62500,52700,62500,0.18596,0.185958254,956905,2024-08-09,"<b>씨에스윈드 (112610) </b><b>일회성 이슈 감안해도 양호한 실적 </b><b>목표주가 80,000원으로 상향, 투자의견 매수 유지 </b>씨에스윈드 목표주가를 80,000원으로 기존대비 14.3% 상향하며 투자의견 매수를 유지한다. 2024년 예상 EPS에 목표 PER 20배를 적용했다. 2분기 실적은 시장 기대치를 크게 상회했다. 하부구조물 부문에서 고객사 협상으로 이뤄진 계약금 증액 효과가 반영된 영향 때문이다. 지난 분기 대규모 적자의 반대급부로 인한 일시적 이익 성장을 간주할 수 있으나 본질적인 마진도 양호한 추이를 보이고 있어 긍정적이다. 이후 추가 협상 진행 여부에 따라 하반기 중 규모는 다르지만 재현될 가능성이 존재한다. 2분기 누적 신규 수주는 약 9억달러 규모로 연간 목표 대비 60% 수준으로 보인다. 2024년 추정치 기준 PER 14.7배, PBR 2.0배다. <b>2Q24 영업이익 1,303억원(YoY +211.5%)으로 컨센서스 상회 </b>2분기 매출액은 8,578억원을 기록하며 전년대비 106.4% 증가했다. 하부구조물 부문 신규 인수 효과에 더해 타워 부문의 기여도가 개선되었기 때문이다. 이번 분기 반영된 AMPC는 327억원이며 고객사배분 41억원이 제외된 수치다. 영업이익은 1,303억원을 기록하며 전년대비 211.5% 증가했다. 하부구조물 부문에서 일시적 이익 개선 효과가 반영되었다. 문제가 되었던 해상변전소 마진 훼손 이슈는 해소된 것으로 보이며 지난 분기 527억원 적자에서 800억원 수준으로 회복된 것으로 추정된다. 단가 협상이 완료되었기 때문에 하반기에도 한 자리 수 중반 수익률이 이어질 수 있다. 타워 부문 마진은 10% 수준에 도달한 것으로 판단되며 AMPC를 제외한 이익률은 한 자리 수 중반 수준으로 예상된다. 앞으로 미국 법인의 매출 비중이 확대되는 과정에서 마진과 AMPC가 동시에 성장할 수 있어 긍정적이다. 이자비용 171억원, 외화환산손실 54억원, 매출채권처분손실 57억원이 반영되었지만 영업이익 증가로 세전이익과 순이익은 전년대비 개선되었다. <b>실적은 당분간 걱정 없음. 미국 정치 지형 변화 여부에 관심 </b>고객사와 단가 협상이 성공적으로 진행됨에 따라 하부구조물 부문 수익성이 정상화되었다. 물론 기존 수주잔고가 소진되는 과정에서 향후 일시적 매출 감소가 나타날 여지는 있으나 적어도 연내 단기 수익성 측면에서 리스크가 해소된 부분은 긍정적으로 볼 수 있다. 기존 본업인 타워 부문의 이익 기여도가 빠르게 성장하고 있다. 주력 거점인 미국 법인의 경우 전력인프라 부족 현상 등을 감안하여 생산설비 확장 속도를 조절하는 모습이나 주력 고객사 생산물량 비중 상승 등으로 견조한 실적이 이어질 수 있다. 미국 대선 결과에 따라 멀티플 <b>추정 재무제표 </b>",NULL,하나증권,80000,2024-08-09,70000,2024-08-09,4,4,4,4,81928.57143,80461.53846,97000,62000,80000,0.31086,0.12945,2024-08-09,14,14,9,0,4,1,9
112610,씨에스윈드,2024-08-08,62500,52700,62500,0.18596,0.185958254,957128,2024-08-09,"<b>Buy (유지) </b><b>씨에스윈드 (112610)</b><b>EARNINGS REVIEW </b><b>일회성 수익이 크게 작용한 서프라이즈 </b><b>2Q24 Review: 감이 안 잡히는 실적 변동성 </b>2Q24 연결 기준 영업이익은 1,303억원(흑전 QoQ, OPM 15.2%)으로 시장 컨센서스(401억원) 및 당사 추정치(470억원)를 크게 상회했다. 어닝 서프라이즈다. 1Q24 큰 폭의 적자를 야기했던 오프쇼어 법인(구 Bladt)의 OSS(해상변전소) 프로젝트가 단가 인상 협상에 성공하며 일회성 수익이 인식됐기 때문이다. 구체적인 금액이 공개되진 않았지만 수백억원 규모에 이르는 것으로 파악된다. 부문별 실적을 살펴보면 타워는 AMPC(327억원) 제외 시 영업이익 175억원(OPM 3.6%), 오프쇼어 법인은 801억원(OPM 23.7%)의 영업이익을 기록했다. 동사는 금번 실적발표에서 연간 가이던스를 상향 조정했다(매출 2.7조원→3조원, OPM 7%→9%). <b>하반기에도 실적을 좌우하는 건 결국 하부구조물 </b>OSS 프로젝트는 계약 금액 증액으로 해피엔딩을 맞았다. 이제 남은 건 모노파일이다. 동사는 해당 계약에 대해서도 단가 인상 협의를 진행하고 있으며 성공할 경우 2H24 오프쇼어 법인의 수익성은 하이싱글이 기대된다는 가이던스를 제시했다. 한편 타워 부문은 2H24에도 안정적인 사업을 이어갈 것으로 전망한다. 글로벌 터빈사들이 공통적으로 풍력 업황 개선을 전망하고 있으며, 본격적인 업황 회복의 관건인 금리 인하도 예상되기 때문이다. <b>투자의견 Buy 유지하나 목표주가 75,000원으로 상향 </b>실적 추정치 조정에 따라 목표주가를 기존 70,000원에서 75,000원으로 +7% 상향한다. 고객사와의 단가 협상이 원만히 이뤄지며 예상 대비 빠른 실적 개선세가 나타났으며, 타워 부문도 2H24 SGRE향 첫 대규모 해상풍력 계약 체결과 베트남 및 포르투갈 법인의 가동률 상승이 예상된다. 하지만 오프쇼어 법인의 실적은 여전히 베일에 싸여 있고 금번 실적발표로 동사의 이익 추정은 더욱 어려워졌다. 실적 우상향이 예상되나 변동성 축소는 동사가 해결해야 할 과제이다. <b>씨에스윈드 (112610) </b>",NULL,LS증권,75000,2024-08-09,70000,2024-08-09,4,4,4,4,81928.57143,80461.53846,97000,62000,80000,0.31086,0.12945,2024-08-09,14,14,9,0,4,1,9
