STK_CD,CMP_NM,TRD_DT,CLOSE_PRC,PRE_CLOSE_PRC,HIGH_PRC,PRC_RTN,HIGH_PRC_RTN,RPT_ID,ANL_DT,RPT_TXT,RPT_TXT_LEN,BRK_NM_KOR,BRK_TARGET_PRC,BRK_TARGET_PRC_DT,BRK_PREV_TARGET_PRC,RECOM_TYP_DT,RECOM_TYP_AVG,RECOM_TYP_MAX,RECOM_TYP_MIN,RECOM_TYP_MID,TARGET_PRC_AVG,TARGET_PRC_AVG_3_MONTHS_BEFORE,TARGET_PRC_MAX,TARGET_PRC_MIN,TARGET_PRC_MID,TARGET_PRC_DIFF,TARGET_PRC_CHG,TARGET_PRC_DT,RECOM_TYP_CNT,TARGET_PRC_CNT,TARGET_PRC_UP_1W,TARGET_PRC_DOWN_1W,TARGET_PRC_HOLD_1W,TARGET_PRC_NEW_1W,TARGET_PRC_UP_DOWN_1W
145020,휴젤,2024-08-07,255000,226000,266500,0.12832,0.17920354,957648,2024-08-12,NULL,NULL,다올투자증권,350000,2024-08-12,350000,2024-08-12,4,4,4,4,318000,242500,350000,300000,310000,NULL,0.03415,2024-08-12,5,5,1,0,3,1,1
145020,휴젤,2024-08-06,226000,211000,231500,0.07109,0.097156398,957648,2024-08-12,NULL,NULL,다올투자증권,350000,2024-08-12,350000,2024-08-12,4,4,4,4,318000,242500,350000,300000,310000,NULL,0.03415,2024-08-12,5,5,1,0,3,1,1
370,한화손해보험,2024-08-09,5830,5250,6100,0.11048,0.161904762,957686,2024-08-12,"<b>Hold (하향) </b><b>한화손해보험 (000370) </b><b>비용 감소에 따른 어닝 서프라이즈 시현 </b>한화손해보험은 주로 비용 감소에 힘입어 어닝 서프라이즈를 기록했습니다. 향후 추정치를 상향 조정한 데 따라 목표주가를 상향하나, 최근 주가 상승에 의한 upside 축소로 투자의견은 하향합니다. <b>2Q24 별도 순이익 1,299억원(+26% YoY), 기대치 상회 </b>한화손해보험의 2Q24 별도 당기순이익은 1,299억원(+26% YoY)으로 시장 컨센서스를 23% 상회하는 서프라이즈를 기록. 당사 추정과 비교하면 기타보험비용과 부채 부담이자의 감소가 실적 호조를 견인. 2Q24 보험손익은 1,360억원(+25% YoY)으로, 기타보험서비스비용이 평기보다 300억원 감소하고 예실차가 소폭 개선되면서 기대 이상으로 증가함. PAA손익은 자동차 손해율이 상승했으나 일반보험이 양호한 수익성을 나타내면서 선방함. 2Q24 투자손익은 283억원(+10% YoY)으로, 전년 동기보다 매매평가익이 감소했음에도 불구하고 이자수익 증가 및 보험금융비용 감소로 양호하게 나타남. 부채이율을 고려하지 않은 운용자산 투자수익률은 2.9%로 28bp YoY 하락. 2Q24 신계약은 인보험을 중심으로 6% QoQ, 3% YoY 감소. 신계약 마진은 전년 동기보다 개선됐으나 전분기보다는 하락하면서 신계약 CSM은 -15% QoQ, +5% YoY를 기록. 여기에 과거 절판 시기에 가입됐던 1세대 실손의 갱신 탈락으로 유지율이 하락하면서 기중 조정이 발생해 보유 CSM 잔액은 전분기 수준으로 유지됨 <b>목표주가 상향하나 투자의견은 하향 </b>한화손해보험은 2개분기 연속 양호한 실적을 시현하며 상반기 +26% YoY의 이익을 기록. 당분기 실적 호조와 부채 부담이자 감소를 고려해 향후 이익 추정치를 2024년 8%, 2025년 5% 상향 조정하고 목표주가를 기존 대비 7% 상향함. 다만 최근 한 달 간 주가가 15% 상승하며 KOSPI를 25% 상회하는 등 가파른 상승세를 보인 데 따라 상승여력이 축소되었으므로 투자의견은 Hold로 하향함. 지난 5월 이후 보험업계에 다양한 회계적 불확실성 (CSM상각률, 무저해지 해약률 가정, 공시이율 예실차 등)이 상존한 가운데, 대부분의 항목은 변경되더라도 동사의 손익 영향은 크지 않다고 밝힘. 단, 배당가능이익의 구조적인 확보를 위해서는 연내 해약환급금 준비금의 적립 방식 변경이 결정되어야 할 것으로 전망됨 <b>[ 재무제표 ] </b>",NULL,한화투자증권,6400,2024-08-12,6000,2024-08-12,3.71429,4,3,4,6157.14286,5771.42857,7000,5000,6200,NULL,0.02133,2024-08-12,7,7,2,0,5,0,2
370,한화손해보험,2024-08-09,5830,5250,6100,0.11048,0.161904762,957657,2024-08-12,"<b>보험 </b><b>한화손해보험 000370 </b><b>2Q24 Review: 경상적인 이익 체력 회복과 주주환원 </b><b>2024년 2분기 당기순이익 1,299억원, YoY 26.2%↑, QoQ 4.0%↑ </b>TP 7,000 원 한화손해보험의 2024년 2분기 당기순이익(별도기준)은 1,299억원으로 전년동기 및 전분기대비 각각 26.2%, 4.0% 증가했는데, 전년동기대비 이익이 좋아진 이유는 보험손익 및 투자손익 증가에 기인하며, 전분기에 비해서는 투자손익 개선에 기인함. 2024년 2분기 한화손해보험의 보험손익은 1,360억원으로 전년동기대비 25.0% 증가했고, 전분기에 비해서는 9.0% 감소함. 보험손익이 전년동기대비 증가한 이유는 상반기 GA 및 전속채널의 지속적인 성장세로 장기신계약 매출이 전년동기대비 17.7% 증가했고, 시그니처 여성 건강보험 등 여성/종합 중심 판매가 증가하면서 CSM 증가를 시현했기 때문. 2024년 상반기 기준 신계약 중 종합보험은 33.4%의 비중을 차지하며, 그 중 시그니처 여성(간편 보험)의 경우 25.8% 이상을 시현함. 이에 신계약 CSM은 1,680억원으로 전년동기대비 5.4% 증가함. 자동차보험의 보험손익은 30억원으로 전년동기대비 79.7% 감소했고, 전분기에 비해서는 흑자전환을 시현했는데, 요율 인하에 따른 대당보험료 하락 등으로 매출 증가 폭은 감소했지만, 우량계약 중심의 매출 성장을 통한 수익 개선은 지속하고 있는 것으로 판단됨. 일반보험손익은 160억원으로 전년동기대비 흑자 전환함. 2024년 2분기 투자손익(보험금융손익 포함)은 1,257원으로 전년동기 및 전분기대비 각각 4.5%, 1.9% 증가함. 2024년 6월말 지급여력비율(K-ICS)은 경과조치 전 171%, 경과조치 후 210%로 추정되는데, 4월 유동성프리미엄 추가 인하로 장기보험료 부채가 증가하면서 전분기대비 각각 1.8%p, 1.3%p 하락할 것으로 예상됨. <b>투자의견 Buy 유지, 목표주가 7,000원으로 상향 </b>한화손해보험에 대해 투자의견 매수를 유지하며, 목표주가는 7,000원으로 상향 조정함. 1) 2024년 장기 및 자동차보험에서 성장 및 수익 개선을 시현하면서 견조한 상반기 실적을 시현했고, 2)이에 따른 연간 이익 증가를 바탕으로 배당에 대한 기대도 주가에 긍정적 영향을 줄 것으로 예상되기 때문. <b>한화손해보험 [000370] </b>",NULL,교보증권,7000,2024-08-12,6500,2024-08-12,3.71429,4,3,4,6157.14286,5771.42857,7000,5000,6200,NULL,0.02133,2024-08-12,7,7,2,0,5,0,2
9420,한올바이오파마,2024-08-07,35600,31900,36400,0.11599,0.141065831,957629,2024-08-12,"<b>한올바이오파마 (009420.KS)</b><b>Round2 개시: 기업가치 성장 국면 진입 중</b>기업가치 평가 방식 변경. 1)IMVT 상대 시가총액, 2)batoclimab 아시아 권리, 3)국내 영업가치 제외. 1402 대형 적응증 임상 개시(4Q24),허가용 임상 공개(1Q25) 주목. 기업 가치 본격 확장 국면 진입 중<b>작년은 Best In Class 증명, 올해는 본격 적응증 확장의 해</b>투자의견 Buy 유지, 목표주가 52,000원으로 16% 상향. 목표주가 상향은 밸류에이션 방식 변경에 기인, 크게 세 가지 주요 포인트 존재1)IMVT 파이프라인(1401, 1402): 기존 적응증별 rNPV 밸류에이션 방식에서파트너사 Immunovant 시가총액의 상대가치 평가(적정가치 40% 제시)로 변경. 1401 상업화 전략 수정 가능성, 1402 본격 적응증 확장 고려한 것IMVT 2분기 실적발표에서 1402 타임라인 신규 업데이트(’24년 말까지 3개 적응증 IND 신청) 주목, 대형 적응증(류마티스 관절염, 쇼그렌, GD 추정) 가능성. 추가로 내년 1분기까지 4~5개(MG, TED, CIDP, GD 추정) 허가용 임상 공개예정. 즉, 작년이 1402의 Best In Class 증명한 해라면, 올해 하반기 1402는FcRn의 핵심 투자포인트인 확장성 증명, IMVT 파이프라인 가치 상승 시작될 것<b>기업가치 반영이 필요한 아시아 권리(중국, 일본)</b>2)batoclimab 아시아 권리: 소외된 중국(HBM9161)와 일본(HL161) 파이프라인(합산 4,900억원 추정) 가치 반영 필요. 고려 시, 쉽게 IMVT 대비 적정가치 약 50% 판단. 향후, 중국 HL161ANS(1402) 추가 L/O 가능성도 존재3)국내 영업가치 제외: 1401 상업화 전략 조정에 따른 기술료 수익 변동성 고려<b>Summary</b>한올바이오파마는 1973년에 설립되어 합성의약품과 바이오의약품의 연구개발 및 제조, 판매 영위하는 제약사. R&D 연구개발은 자가면역질환, 안구질환, 암 등의 질환영역에서 바이오신약 개발에 집중하고 있음. 효과적인 치료제가 없는 만성적인 난치 질환에 대해 '계열 내 최초(First-In-Class) 신약'과 '계열 내 최고(Best-In-Class) 신약' 개발을 목표로현재 총 5가지 연구과제진행중. 주요 연구과제 중 하나인 자가면역질환 치료 신약 'HL161(물질명 batoclimab)'은 파트너사 이뮤노반트(Immunovant)와 하버바이오메드(Harbour BioMed)가 중증근무력증(Myasthenia gravis) 및 다수의적응증에 대한 임상 3상을 미국과 중국에서 진행 중, 중국은 2024년 하반기 HL161 BLA 제출 완료<b>목표주가 52,000원으로 상향</b>한올바이오파마에 대해 투자의견 Buy를 유지하며, 목표주가는 52,000원으로 16% 상향한다. 목표주가 상향 근거는 밸류에이션 방식 변경으로, 다음 세 가지 측면을 새롭게 반영하였다&lt;표1, 2&gt;. 1)IMVT 파이프라인 가치평가 방식 변경(rNPV → Immunovant 상대 가치), 2)HL161 아시아(중국 제외) 가치 신규 반영, 3)기존 국내 영업가치 제외동사 기업가치 대부분을 차지하는 Immunovant 파이프라인(1401, 1402) 가치 평가방식을 변경한다. 기존에는 IMVT-1401의 2개 적응증(MG, TED) 출시,IMVT-1402의3개 적응증(GD, CIDP, RA) 출시를 가정,rNPV(risk adjusted NPV) 방식으로 파이프라인 가치를 산출하였다. 다만,1)IMVT의 1401 상업화 전략 수정 가능성,2)1402 본격적응증 확장(2H24 IND 3개 신청, 1Q25 허가용 임상 4~5개, 1Q26 총 임상 10개) 고려시 파트너사 Immunovant 상대가치 비교를 통한 밸류에이션 방식으로 변경하였다. 한올바이오파마 귀속 IMVT 파이프라인 가치는 Immunovant 시가총액의 40%로 제시,보수적으로 남은 상업화 마일스톤 수익은 가치 반영에서 제외하였다&lt;표3&gt;. 빅파마의 일반적인 영업이익률 수준은 30%이며, Immunovant도 만약 직접 상업화 시 유사 마진을가져갈 것으로 추정하였다. 또한, 한올바이오파마 귀속 IMVT 매출 로열티는 12%로 추정, 단순 영업이익 귀속률로 비교 시 Immunovant 시가총액 대비 40%가 합당하다는판단이다. 한올바이오파마 HL161 중국, 일본/한국 가치까지 고려 시 한올바피오파마 전체 시가총액은 Immunovant 대비 ~50%까지도 평가받아야 한다&lt;그림1&gt;. Immunovant는 한올바이오파마로부터 기술수입한 IMVT-1401, 1402만 파이프라인으로 보유하고 있다. 다만 상업화 역량이 없으며,모회사 Roivant 레퍼런스 고려시M&A 매각이 유력한 사업 모델이다. 지난 5월 31일 IMVT-1401 상업화 계획 변경 가능성에 따라 매각 지연에 따라 현재 Immunovant 주가에는 매각 프리미엄이 빠진 상황이다. 이에 현재 한올바이오파마와 온전한 시가총액 비교가 가능해졌다고 판단한다. 올해 연말로 갈수록 파트너사 IMVT의 주가 상승을 전망하며, 동사의 기업가치의 동반2분기 실적발표에서 IMVT는 1402의 타임라인을 새롭게 공개하였으며, 정리를 하면 다음과 같다. 1. 2025년 1분기까지 총 4~5개의 잠재적 허가용 임상 공개(기존 소통 내용), 2. 2024년 연말까지 3개 적응증 IND 신청(새롭게 소통)기존 1401 임상은 크게 네 개로, 1)GD(2상 추가 데이터, 2H24), 2)MG(3상, 1Q25), 3)TED(3상,1H25), 4)CIDP(피보털 2b상 Period 1, 1Q25). 타임라인 상 MG의1402 개발 전략을 3상 결과가 나오는 내년 1분기에 공개하겠다고 밝힌 상황으로, 이를감안하면 결국 기존에 개발하던 적응증들은 결과가 나오는 내년 1분기 이후에 1402 허가용 임상 진입 타임라인을 예상해 볼 수 있다. 즉 2025년 1분기까지 4~5개의 잠재 허가용 임상은 결국 MG, GD, TED, CIDP로 예상 가능하다(GD는 올해 말 IND도 가능)이번에 새롭게 업데이트한 내용인 2024년 연말까지 3개의 적응증 IND 신청에 큰 주목이필요하다. 신규 임상은 경쟁사가 이미 개념증명(PoC) 입증한 신규 적응증(류마티스 관절염, 쇼그렌, 신생아 용혈병 등)으로 기대한다. 1402는 해당 적응증으로 허가용이 아닌 2In Class 물질을 통해 드디어 신규 시장에 진입을 하는 것이다&lt;표5&gt;. 해당 신규 적응증은 기존 희귀질환을 넘어선 대형 시장이라는 점에서, 올해연말 1402의 Round2를 통해 본격적인 FcRn 확장 스토리를 기대한다&lt;표4&gt;이후 약 2~3개 정도의 신규 적응증을 추가 개발하여 2026년 1분기까지 총 10개의 적응증으로 타깃 임상을 진행하는 것이 현재 IMVT의 현 시점 최종 타임라인이다. 한올바이오파마는 IMVT 기술수출한 파이프라인 외에 중국 HBM9161(HL161)과 자체적으로 일본/한국 임상을 진행하고 있다. 이번 기업가치 평가에 1)기존 중국 HBM9161 가치를 소폭 상향(기존 2,110억원 → 2,400억원), 2)신규로 일본 판권 가치(2,500억원)반영을 하였다. HBM9161 가치 상향은 최근 BLA 재제출에 따른 가치 반영이다. 내년부터 중국에서는MG 적응증 첫 출시되며 로열티 매출이 발생할 것으로 기대된다&lt;그림2, 3&gt;. 또한 신규일본 HL161 임상은 MG(1Q25), TED(2Q25) 진행 중으로, 향후 2027년 출시가 기대된다. 현재 판권 계약 논의 중으로,3상 완료 이후 계약이기 때문에 로열티율은 기존IMVT, Harbour 등 대비 훨씬 높을 수 밖에 없다. 매출 로열티 30~40% 수준 가정하여 일본 판권 가치 약 2,500억원으로 추산하였다. 추가적으로 한올바이오파마는 HL161ANS의 아시아 권리(중국, 일본 등) 보유하고 있기때문에,HL161ANS에추가 기술수출도가능하다. HL161ANS 아시아 권리 미반영하였으며, 추후 딜 나올 때 기업가치에 반영 예정이다. 기존에는 한올바이오파마의 영업가치을 반영해왔지만 이를 제외하였다. 이번 2분기 실적발표에서 기술료 수익 조정 탓에 약 31억원의 영업적자가 발생했다. 기술료 수익 조정은기존 수령한 계약금 및 마일스톤(3개 적응증)의 개발 타임라인 조정(기존 2026년 6월→ 2026년 9월) 탓에, 일시적인 조정 비용을 2분기에 반영한 탓이다. 향후 3~4분기에는 다시 평균적으로 기술료 수익 20억원은 나올 것으로 예상한다. 다만, 내년 1분기 Immunvant의 MG 적응증 3상 데이터 공개 및 상업화 미출시 발표시, 추가적으로 일시적인 비용이 가능할 수도 있다고 예상한다. 추후 실적에 대한 불확실성이 존재하여 기업가치 평가에서 영업가치는 제외하였다. 한올은 기본적으로 자생가능한 R&D 시스템을 갖춘 바이오텍이라는 큰 강점을 가지고있다. Immunovant 임상 스케줄 관련 비용 조정은 회계상의 비용으로 실제 현금흐름에는 영향이 없다. 향후 점차 R&D 비용 증가하겠으나, 꾸준한 국내 의약품 판매를 통해지속가능한 R&D 시스템은 유지될 것으로 전망한다. ",NULL,NH투자증권,52000,2024-08-12,45000,2024-08-12,4,4,4,4,51125,45333.33333,65000,43000,49000,NULL,-0.01683,2024-08-12,8,8,0,0,6,2,0
352820,하이브,2024-08-07,181500,171400,189100,0.05893,0.103267211,957679,2024-08-12,"<b>하이브 352820 </b><b>준비된 자는 걱정이 없다 </b>.  2025년 음원 및 공연 매출액은 각각 +49% YoY, +28% YoY 성장 전망 .  글로벌 노출도 확대로 타사 대비 압도적인 글로벌 라이트 팬덤 확보(1억명) .  1) BTS 완전체 활동 재개, 2) 5년차 이상 IP 성장, 3) 저연차 IP 실적 기여 기대 .  하반기부터 준비 중인 신사업(위버스 구독형 멤버십, 글로벌 IP 론칭) 가속화 .  투자의견 Buy, 적정주가 260,000원으로 커버리지 제시 <b>고연차가 끌고, 저연차가 밀어준다 </b>2025년 음원/공연 매출액은 각각 +49% YoY, +28% YoY 성장하며 외형 성장을 견인할 전망이다. 소속 아티스트의 글로벌 노출도 확대가 지속되고 있다. 동사는 타 사(3천만명) 대비 압도적인 글로벌 라이트 팬덤(1억명)을 확보하고 있다. 2025년부터는 3년차 이하 IP인 르세라핌, 뉴진스, 보이넥스트도어, 투어스, 아일릿 등 총 5팀이 단독 공연이 가능한 수준의 글로벌 팬덤을 확보할 전망이다. BTS의 완전체 활동, 5년차 이상 IP(TXT, 엔하이픈)의 안정적인 성장에 더해 저연차 아티스트들의 본격적인 실적 기여가 기대된다. <b>신사업 가속화 </b>4Q24부터 ‘위버스’의 구독형 멤버십 서비스가 론칭된다. 광고 없는 영상 시청, 디지털 멤버십 카드, VOD 오프라인 저장 등 다양한 방식으로 공개될 예정이다. 8월에는 동사의 첫 미국 현지화 그룹인 ‘캣츠아이’의 미니 앨범 및 넷플릭스 다큐멘터리가 공개된다. 2025년은 일본 및 라틴 현지화 그룹 제작 등 동사가 준비 중인 신사업의 확장 및 수익화가 본격화되는 시점이라는 판단이다. <b>투자의견 Buy, 적정주가 260,000원으로 커버리지 개시 </b>적정주가는 2025년 예상 EPS 7,407원에 Target PER 35배를 적용해 도출하였다. 2025년 예상 매출액과 영업이익은 각각 2.8조원(+21.9% YoY), 3,227억원(+40.5% YoY)을 전망한다. 1) 저연차 아티스트의 수익화 기간 단축, 2) BTS 완전체 컴백, 3) 위버스 등 신사업 확장 및 현지화 그룹의 성과가 기대되는 하이브에 대해 적극 매수 접근을 추천한다. 2Q24 연결 매출액은 6,405억원(+3.1% YoY), 영업이익은 509억원(-37.4% YoY)으로 시장 컨센서스(영업이익 683억원)를 하회했다. 2분기 역대 최고 분기 매출액을 기록했음에도 불구하고 영업이익 부진에 대한 이유는 두가지다. 1) 고연차 만큼의 규모의 경제가 발생하지 않는 저연차 아티스트 활동 증가, 2) 게임, 시프트 등 테크 기반의 신사업 관련 초기 비용이 발생한 영향이다. 하반기 매출 규모 증가에 따라 수익성 개선될 예정이며, 게임 관련 마케팅 비용은 모두 2분기에 반영돼 2025년 신사업 수익화가 본격화될 전망이다. 소속 아티스트들의 글로벌 성과가 두드러지고, 4분기 위버스 멤버십 서비스 출시, 1년 내 BTS 완전체 활동이 예정되어 있어 2025년 가파른 성장세가 기대된다. 하이브에 대해 투자의견 Buy, 적정주가 260,000원으로 커버리지를 개시한다. 저연차 IP의 수익 기여, BTS 완전체 활동, 신사업 성과가 온전히 반영되는 2025년 예상 EPS에 Target Multiple 35배를 적용해 산출했다. 1) BTS 부재로 인한 우려를 해소하고, 2) 뉴진스, 르세라핌 등 신규 IP의 성장과 기존 IP들의 성장세가 확인된 2022년 동사의 평균 PER을 적용하였다. 현 주가 기준 12MF PER은 26.9배로 역사적 저점 수준이다. 엔터 산업의 성장성에 대한 의심과 우려는 기 반영되었다. 저연차 및 신인 그룹의 성장과 고연차 IP들의 고성장세가 지속되고 있어, 단기간 실적 우려보다는 2025년의 이익 성장에 주목해야할 시점이다. 2024년 연간 매출액 및 영업이익은 2.3조원(+3.7% YoY), 2,297억원(-22.3% YoY)를 전망한다. 글로벌 현지 그룹 등 신규 IP 론칭, 신사업 확장 등에 따른 제작원가 상승으로 단기간 수익성 부진은 불가피할 전망이다. 2025년은 높았던 기저가 해소되고, 고연차 IP들의 활동에 저연차 및 신규 IP의 성과가 더해진다. 2025년 연간 매출액 및 영업이익은 각각 2.8조원(+21.9% YoY), 3,227억원(+40.5% YoY)를 전망한다. 특히, 올해 4분기 위버스 멤버십 서비스 관련 내용이 구체됨에 따라 수익성 판단이 가능해질 경우, 실적 및 활동 모멘텀이 동시에 부각되며 주가 트리거로 작용할 전망이다. <b>하이브 (352820) </b>",NULL,메리츠증권,260000,2024-08-12,340000,2024-08-12,4,4,4,4,278333.3333,305666.6667,300000,240000,280000,NULL,-0.02602,2024-08-12,15,15,0,4,9,2,-4
166090,하나머티리얼즈,2024-08-09,40200,38050,42000,0.0565,0.103810775,957735,2024-08-12,"<b>하나머티리얼즈 </b><b>예상보다 더딘 회복 </b>2Q24 Preview - 예상보다 더딘 회복: 하나머티리얼즈의 2Q24 매출과 영업이익은 각각 619억원(+7% QoQ, -5% YoY), 97억원(+49% QoQ, -27% YoY)으로 시장 예상치와 당사 추정치를 하회할 것으로 예상한다. 메모리 업황 회복에 따른 최종 고객사의 가동률이 완연하게 상승하고 있으나 당사 예상 대비 가동률 상승 속도는 느린 가운데 1Q24 장비 주고객사의 선제적인 부품 재고 빌드업으로 2Q24 실적은 예상 대비 부진할 전망이다. 하반기 장비 고객사향 제품 확대 기대감 낮춰야… 24년 실적 하향 조정: 최종 고객사의 NAND 전환 투자 속도가 예상 대비 느린 상황이다. 당사는 하반기 장비 고객사향 Si 제품 확대를 기대했으나 예상보다 느린 NAND 가동률로 하반기 실적 눈높이를 낮춰 2024년 연간 매출과 영업이익은 각각 2,513억원(+8% YoY), 484억원(+16% YoY)으로 하향 조정한다. 투자의견 Buy, 목표주가 55,000원으로 하향: 목표주가는 실적 추정치 하향 조정을 반영해 55,000원으로 변경한다. 그러나 하반기부터 주고객사인 TEL의 NAND 신규 식각 장비향 커버링, 그라운드링, Electrode 등 테스트용 매출이 발생할 것으로 전망하며 내년부터 매출에 반영될 것으로 예상한다. 하나머티리얼즈에 대해 투자의견 Buy를 유지한다. ",NULL,DB금융투자,55000,2024-08-12,72000,2024-08-12,4,4,4,4,69857.14286,73500,82000,58000,69000,NULL,0,2024-08-12,7,7,0,0,7,0,0
166090,하나머티리얼즈,2024-07-31,50300,46500,51000,0.08172,0.096774194,957735,2024-08-12,"<b>하나머티리얼즈 </b><b>예상보다 더딘 회복 </b>2Q24 Preview - 예상보다 더딘 회복: 하나머티리얼즈의 2Q24 매출과 영업이익은 각각 619억원(+7% QoQ, -5% YoY), 97억원(+49% QoQ, -27% YoY)으로 시장 예상치와 당사 추정치를 하회할 것으로 예상한다. 메모리 업황 회복에 따른 최종 고객사의 가동률이 완연하게 상승하고 있으나 당사 예상 대비 가동률 상승 속도는 느린 가운데 1Q24 장비 주고객사의 선제적인 부품 재고 빌드업으로 2Q24 실적은 예상 대비 부진할 전망이다. 하반기 장비 고객사향 제품 확대 기대감 낮춰야… 24년 실적 하향 조정: 최종 고객사의 NAND 전환 투자 속도가 예상 대비 느린 상황이다. 당사는 하반기 장비 고객사향 Si 제품 확대를 기대했으나 예상보다 느린 NAND 가동률로 하반기 실적 눈높이를 낮춰 2024년 연간 매출과 영업이익은 각각 2,513억원(+8% YoY), 484억원(+16% YoY)으로 하향 조정한다. 투자의견 Buy, 목표주가 55,000원으로 하향: 목표주가는 실적 추정치 하향 조정을 반영해 55,000원으로 변경한다. 그러나 하반기부터 주고객사인 TEL의 NAND 신규 식각 장비향 커버링, 그라운드링, Electrode 등 테스트용 매출이 발생할 것으로 전망하며 내년부터 매출에 반영될 것으로 예상한다. 하나머티리얼즈에 대해 투자의견 Buy를 유지한다. ",NULL,DB금융투자,55000,2024-08-12,72000,2024-08-12,4,4,4,4,69857.14286,73500,82000,58000,69000,NULL,0,2024-08-12,7,7,0,0,7,0,0
166090,하나머티리얼즈,2024-08-06,41600,41000,44450,0.01463,0.084146341,957735,2024-08-12,"<b>하나머티리얼즈 </b><b>예상보다 더딘 회복 </b>2Q24 Preview - 예상보다 더딘 회복: 하나머티리얼즈의 2Q24 매출과 영업이익은 각각 619억원(+7% QoQ, -5% YoY), 97억원(+49% QoQ, -27% YoY)으로 시장 예상치와 당사 추정치를 하회할 것으로 예상한다. 메모리 업황 회복에 따른 최종 고객사의 가동률이 완연하게 상승하고 있으나 당사 예상 대비 가동률 상승 속도는 느린 가운데 1Q24 장비 주고객사의 선제적인 부품 재고 빌드업으로 2Q24 실적은 예상 대비 부진할 전망이다. 하반기 장비 고객사향 제품 확대 기대감 낮춰야… 24년 실적 하향 조정: 최종 고객사의 NAND 전환 투자 속도가 예상 대비 느린 상황이다. 당사는 하반기 장비 고객사향 Si 제품 확대를 기대했으나 예상보다 느린 NAND 가동률로 하반기 실적 눈높이를 낮춰 2024년 연간 매출과 영업이익은 각각 2,513억원(+8% YoY), 484억원(+16% YoY)으로 하향 조정한다. 투자의견 Buy, 목표주가 55,000원으로 하향: 목표주가는 실적 추정치 하향 조정을 반영해 55,000원으로 변경한다. 그러나 하반기부터 주고객사인 TEL의 NAND 신규 식각 장비향 커버링, 그라운드링, Electrode 등 테스트용 매출이 발생할 것으로 전망하며 내년부터 매출에 반영될 것으로 예상한다. 하나머티리얼즈에 대해 투자의견 Buy를 유지한다. ",NULL,DB금융투자,55000,2024-08-12,72000,2024-08-12,4,4,4,4,69857.14286,73500,82000,58000,69000,NULL,0,2024-08-12,7,7,0,0,7,0,0
140860,파크시스템스,2024-08-06,169400,153800,176600,0.10143,0.148244473,957732,2024-08-12,"<b>파크시스템스 </b><b>반도체 미세화와 궤를 함께 한다 </b>2Q24P Review - NX-Wafer 출하 증대로 실적 호조: 파크시스템스의 2Q24P 매출과 영업이익은 각각 447억원(74% QoQ, +13% YoY), 127억원(2389% QoQ, +26% YoY)으로 컨센서스(379억원·89억원)을 상회했다. 높은 기초 수주 잔고를 기반으로 견조한 중화권향 NX-Wafer 장비 출하가 확대돼 전분기 대비 매출이 증가했다. 상대적으로 수익성이 높은 산업용 장비의 출하 증가로 전분기 대비 큰 폭의 이익 개선이 시현되었다. 2Q24P 신규 수주는 413억원, 기말 수주 잔고는 820억원으로 추정된다. NX-Mask 수주 확대 기대: 3Q24 역시 높은 기초 수주 잔고와 신규 수주로 매출 475억원(+6% QoQ, +47% YoY), 영업이익 131억원(+3% QoQ, +140% YoY)의 견조한 실적이 예상된다. 시장의 기대감이 모아졌던 NX-Mask 장비의 경우 글로벌 파운드리업체로부터 2Q24 1대 수주를 받았으며 하반기에도 파운드리업체들의 수주가 기대된다. 2024년 상저하고의 실적 흐름이 예상되며 매출과 영업이익은 1,716억원(+19% YoY), 412억원(+50% YoY)을 전망한다. 작년 인력 충원으로 판관비의 절반 가량을 차지하는 인건비가 크게 증가했으나 올해는 인력 충원 마무리 속 비용 효율화로 수익성이 개선될 것이다. 반도체 미세화와 궤를 함께 한다: 탄탄한 NX-Wafer 기초 체력 속 NX-Mask와 NX-Hybrid WLI 등 야심차게 준비해왔던 신규 장비의 결실이 반도체 미세화와 궤를 함께하며 맺어지고 있는 과정이다. 중장기적으로 Accurion과의 기술 콜라보를 통한 신규 제품군 확대 기대감은 유효하다. 파크시스템스에 대해 투자의견 Buy, 목표주가 230,000원을 유지한다. ",NULL,DB금융투자,230000,2024-08-12,230000,2024-08-12,4,4,4,4,218333.3333,215714.2857,240000,200000,220000,NULL,0.01214,2024-08-12,6,6,0,0,6,0,0
