006360,GS건설,2024-07-26,19210,17570,19300,0.09334,0.0984632896,956684,2024-08-08,NULL,NULL,KB증권,NULL,NULL,NULL,NULL
006360,GS건설,2024-08-08,18640,16750,18780,0.11284,0.1211940298,956684,2024-08-08,NULL,NULL,KB증권,NULL,NULL,NULL,NULL
009420,한올바이오파마,2024-08-07,35600,31900,36400,0.11599,0.1410658307,956749,2024-08-08,,NULL,미래에셋증권,NULL,NULL,NULL,NULL
010130,고려아연,2024-08-07,508000,467500,510000,0.08663,0.0909090909,956794,2024-08-08,"<b>COMPANY </b><b>2024. 8. 8 </b><b>고려아연 (010130) </b><b>신사업 투자와 주주 환원 강화 병행 중 </b>• 2Q24 연결 기준 영업이익은 2,687억 원으로, 컨센서스 5% 상회 • 원/달러 환율, 비철금속 및 귀금속 가격의 상승과 더불어, 회사의 부산물인 희귀 금속 가격 상승도 호실적 일부 견인 • 금속 가격 변동성 높아졌지만, 평균 가격 수준 감안 시 하반기에도 본업 실적 견고할 것. 신사업 시황 회복 기다림 필요하나, 주주 환원 강화로 기업가치 방어 노력 중 <b>WHAT’S THE STORY? </b>2Q24 실적 호조, 가격 상승의 향연: 고려아연의 2Q24 연결 기준 매출 및 영업이익은 각각 전분기 대비 28.7%, 45.6% 증가한 3.1조, 2,687억 원으로, 영업이익은 컨센서스를 5% 상회하였다. 원/달러 환율 상승, 타이트한 광산 공급에 기반한 기초 금속 가격 상승, 안전자산 선호 현상에 따른 귀금속 가격 상승에 더해, 인듐, 안티모니 등 회사가 생산하는 희귀 금속 가격 상승까지 호실적을 견인하였다. 중국 경기 회복 지연 및 미국 경기 둔화 우려 제기, 미국 대선 정국 진입에 따른 정치적 불확실성 확대 등으로 최근 비철금속 가격 변동성이 높아졌지만, 광산의 공급 감소가 쉽게 해소되진 않을 것으로 예상되기에 분기 평균 가격은 하반기에도 크게 후퇴하진 않을 것으로 예상된다. 이에 따라, 본업의 실적 흐름은 하반기에도 견고한 수준이 지속될 것으로 기대된다. 신사업 실적 기여는 기다림 필요하나, 주주 환원 강화로 기업가치 방어 노력 중: 올해 상반기에도 금속 스크랩 트레이딩 기업 Kataman 인수(740억 원), 호주 맥킨타이어 풍력발전소 지분 30% 인수(6,700억 원) 등 회사가 추구하는 2차전지 소재, 리싸이클링, 신재생 에너지 등 신사업에 대한 투자의 고삐를 늦추지 않았다. 회사의 신사업 전략은 1) 구조적 성장 영위, 2) 친환경 기조하에서 기존 제련 사업 수익성 강화 등을 추구하는 방향이지만, 아직 회사는 투자 집행 단계에 머물러 있어 실적 기여가 가시화되지 않을 뿐 아니라 2차전지 시장의 캐즘 경험 등 신사업 영역을 둘러싼 영업 환경도 현재 우호적이라 하기 어려워 신사업 가치가 기업가치에 당장 적극적으로 반영되긴 어려운 상황이다. 다만, 회사는 지난 5월 1,500억 원의 자사주 매입 (일부 소각 목적)에 더해, 전일 4,000억 원(지분율 4%)의 추가 자사주 매입(소각 포함 주주가치 제고 목적)을 발표하였다. 또한, 중간 배당 DPS 10,000원(배당액 2,055억 원)으로 전년 수준을 유지함에 따라 배당과 자사주 매입 총액은 이미 작년 약 4,000억 원 수준을 초과하고 있다(참고로, 회사는 총 주주 환원액을 배당 및 자사주 소각액 합산으로 설정 중). 이처럼 중장기 기업가치 제고를 위해 신사업의 이익 기여를 기다려야 하는 상황에서 회사는 본업의 견고한 실적을 토대로 주주 환원 강화를 통해 단기 기업가치 제고 노력을 기울이고 있다고 판단되는 바, BUY 투자의견을 유지한다. <b>Compliance notice </b>",NULL,삼성증권,NULL,NULL,NULL,NULL
010130,고려아연,2024-08-07,508000,467500,510000,0.08663,0.0909090909,956804,2024-08-08,"<b>고려아연 </b><b>(010130) </b><b>수익성 안정화 증명, 기업 가치 상승을 향해 </b>◼ 연결 영업이익 2,687억원(+72.6% yoy) 기록. 컨센서스 소폭 상회 3분기도 판매량 정상화로 견조할 것. 4천억원 규모 자사주 매입 결정 환영 <b>투자의견 매수, 목표주가 670,000원으로 6.3% 상향 </b>목표주가는 2024E BPS 471,237원에 타깃 PBR 1.43배 적용. 타깃 PBR은 과거 귀금속 가격 상승기 초입의 평균 PBR을 적용 <b>2Q24 Review 수익성 안정화 증명 </b>2Q24 연결기준 매출액 3.06조원(+23.8% yoy), 영업이익 2,687억원(+72.6% yoy), 영업이익률 8.8%(+2.5%p yoy) 기록. 시장 컨센서스 대비 소폭 상회 별도 매출은 정광 선적 지연 및 퓨머 공정 합리화로 인해 기존 가이던스 레벨 대비 생산∙판매량이 부족하게 나타나면서 당사 추정치 대비 부족했으나, 1) 전분기 대비 금속가격 급등(아연 +16%, 연 +4%, 금 +13%, 은 +23%, 구리 +16%)과 2) 원/달러 환율 +3% 상승, 3) 구리 판매량 상승(1Q24 7,529MT → 2Q24 7,974MT)으로 수익성이 크게 개선되면서 영업이익은 당사 추정치에 부합했음 연결자회사 합산 영업이익은 7개 분기만에 흑자전환에 성공. 서린상사가 메탈가격 및 환율 상승 효과로 OPM이 6%로 준수했고, SMC도 페리옥사이드 공정 안정화로 아연 회수율이 크게 증가하며 판매량이 개선되고 OPM도 7.8%를 기록. 스틸싸이클도 원료 다변화 및 가동률 상승으로 6개 분기 만에 흑자전환에 성공 <b>기업 가치 상승을 향해 </b>2분기가 정광 선적지연으로 매출이 부족했음에도 시장 눈높이를 상회하는 실적을 달성. 3분기는 최근 메탈 가격 조정을 감안하고도 정상적인 가동률로 주요 산업금속의 생산∙판매량 정상화가 기대되며, 연 수요의 계절적 상승 구간에서 가격 강세가 지속되고 있는 귀금속 역시 연간 가이던스를 따라잡는 판매 회복 가능할 전망 8/7 공시를 통해 반기 1만원 배당과 함께 4천억원 규모의 자사주 매입 계획 발표. 매입한 자사주는 소각 등을 포함한 주주환원 목적으로 활용될 예정. 적어도 연간 4천억원 수준의 총주주환원금액을 유지하겠다는 의지가 명확한 것은 반가운 소식 <b>재무제표 </b><b>[Compliance Notice] </b>",NULL,대신증권,NULL,NULL,NULL,NULL
011070,LG이노텍,2024-08-06,231000,217500,236500,0.06207,0.0873563218,956524,2024-08-08,"<b>LG이노텍 (011070) </b><b>아이폰 교체 사이클 기대 </b>LG이노텍 목표주가 400,000원, Buy를 유지한다. 이는 향후 2년간 온디바이스 AI폰 수요 증가로 아이폰 업그레이드 사이클 진입이 기대되기 때문이다. 올해 아이폰 출하량은 전년대비 +7% 증가한 2억 4,100만대로 추정되어 2021년 최대 출하량 2억 3,700만대를 경신할 전망이다. 따라서 향후 2년간 (2024~2025년) 아이폰 출하량은 5억대 상회가 예상되어 2021~2022년 아이폰 강세 사이클 출하량 4억 6,400만대를 넘어 사상 최대치를 달성할 것으로 추정된다. 특히 향후 2년간 2억 8,800만대 아이폰에 카메라모듈 공급이 예상되는 LG이노텍은 점유율 58%로 1위를 기록할 전망이다. 올 하반기 LG이노텍 영업이익은 시장 예상치 (7,898억원)를 상회하며 사상 최대치 달성이 기대된다. 하반기 영업이익은 8,210억원으로 2021년 하반기 (7,645억원) 이후 3년 만에 최대 실적을 경신할 전망이다. 이는 ① 고부가 아이폰 모델의 광학 솔루션이 진화됨에 따라 기술적 진입 장벽으로 중국 경쟁사의 점유율 확대가 현실적으로 쉽지 않고, ② 반도체 기판 영업이익률이 2022년 이후 2년 만에 +11%를 상회하며 실적 개선을 견인할 것으로 예상되기 때문이다. 올해 LG이노텍 영업이익은 전년대비 +38% 증가한 1조 1,487억원으로 예상되고, 내년 영업이익은 전년대비 +20% 증가한 1조 3,820억원으로 사상 최대 실적 달성이 전망된다. 특히 LG이노텍은 향후 2년간 5억대 아이폰 출하량 중 2.9억대 아이폰에 카메라모듈 공급이 추정되어 아이폰 카메라모듈 공급 점유율 58%로 1위를 기록할 것으로 예상된다. 최근 1개월간 -10% 하락한 현재 주가는 12개월 선행 PBR 0.9배, PER 6.2배로 과거 10년 역사적 하단 평균을 하회하고 있어 아이폰 카메라의 글로벌 경쟁우위, 이에 기반한 올 하반기와 내년 사상 최대 실적 경신 등을 감안하면 글로벌 카메라모듈 1위 업체로서의 기업가치 재평가가 기대된다. ",NULL,KB증권,NULL,NULL,NULL,NULL
011070,LG이노텍,2024-08-06,231000,217500,236500,0.06207,0.0873563218,956772,2024-08-08,NULL,NULL,KB증권,NULL,NULL,NULL,NULL
012450,한화에어로스페이스,2024-07-29,322500,298500,324000,0.0804,0.0854271356,956499,2024-08-08,"<b>BUY (유지) </b><b>한화에어로스페이스 (012450) </b><b>NDR review : 의심에서 확신으로 </b><b>화두는 수익성과 수주 </b>고속 주행 시 브레이크 페달에 발을 올리듯 가파른 성장 시에는 리스크를 체크한다. 이번 NDR의 화두 역시 ‘수익성’과 ‘추가 수주’에 대한 우려였다. 그리고 NDR이 종료된 현 시점에서, 실적 발표 직후 품었던 의심은 향후 실적에 대한 확신으로 변하는 중이다. 한화에어로스페이스의 2Q24 전사 영업이익률은 12.9%로 크게 개선됐다. 특히 주목할 점은 지상방산 부문의 영업이익률이다. 부문 OPM 19.6%로 YoY +15.9%p, QoQ +20.2%p 개선됐는데, 내수 마진을 10%로 가정할 때 수출 마진은 약 27%에 달하는 수치다. 통상 수출 마진을 10% 중반 예상했던 점 감안할 때 큰 폭의 서프라이즈였으며, 이에 따라 2분기 수준의 수익성 지속 가능 여부에 대한 의심이 뒤따랐다. 2024년 하반기, 그리고 2025년 이후에도 수익성은 견조하게 유지될 것으로 판단한다. 국가별/제품별 수익성이 다르지만 Mix 변화 고려하더라도 수출 마진은 20% 이상 수준에서 유지 가능할 전망이다. 특히, 2024년 이후 점진적 수출 비중 상승 과정에서(수주잔고 내 수출 비중 약 70% 수준) 부문 OPM 역시 동반 상승할 것으로 판단한다. 실적 성장의 제 1 변수는 수주다. 최근 5년간 수주 잔고가 가파르게 증가해 온 만큼, 향후 대규모 수주 통해 수주 잔고의 성장세를 유지할 수 있는지의 여부 역시 중요하다. 눈높이를 폴란드에 둔다면, 수주 모멘텀은 강하지 않을 것으로 예상한다. 다만, 이번 폴란드 수주는 예외적인 케이스로 봄이 마땅하다고 판단한다. 러-우 전쟁에 기초한 폴란드의 정치적 상황 고려할 때 지속 가능한 수주 케이스는 아니다. 이제부터는 수주 잔고 레벨의 유지 여부를 수주 Factor로 삼는 것이 적절하다. 5년치의 일감이 쌓여 있는 만큼 수주 잔고의 증가보다는 지속적인 수주를 통한 수주 잔고 유지가 더욱 중요한 단계에 접어들었다고 판단하며, 국내 수주가 일정 수준 유지되는 점 감안할 때 지상 방산 부문의 연간 매출액 4~6조원 규모의 신규 수주는 가능할 전망이다. 즉 수주 잔고 레벨 유지 가능할 것으로 예상한다. K9 자주포, 천무의 수출 지속 추진되는 과정에서, 상대적으로 시장 관심 적었던 장갑차 수주 역시 기대 가능하다고 판단한다. <b>이익이 증가한다면 주가도 상승할 것 </b>의심은 걷혔다. 이에 따라 실적 추정치를 소폭 상향한다. 2024년 전사 영업이익은 기존 1조803억원(OPM 9.3%)에서 1조1,272억원(OPM 9.7%)으로, 2025년 전사 영업이익은 기존 1조2,890억원(OPM 9.8%)에서 1조4,332억원(OPM 10.9%)으로 상향한다. 이익 추정치 상향함에 따른 목표주가 재설정 불가피하다. 기존 부여했던 10%의 Multiple premium 제거했음에도 이익 증가 폭 확대됨에 따라 목표주가를 375,000원으로 추가 상향한다. 인적 분할 이벤트를 고려하더라도, 혹은 고려하지 않더라도 37~38만원 수준의 주가 산출 가능한 논거 갖춰졌다고 판단한다. ",NULL,하나증권,NULL,NULL,NULL,NULL
028050,삼성E&A,2024-07-26,27900,25700,28550,0.0856,0.1108949416,956683,2024-08-08,NULL,NULL,KB증권,NULL,NULL,NULL,NULL
036620,감성코퍼레이션,2024-08-08,3375,3115,3515,0.08347,0.1284109149,956565,2024-08-08,"<b>감성코퍼레이션 (036620.KQ)</b><b>낭중지추</b>2분기에도 영업이익 30% y-y 이상 성장 예상. 타 의류 상장사와는 확연히 차별화되는 성장세. 9월 중순 TV 광고 론칭 이후 주력 제품 매출확대 예상. 올해 시작되는 일본향 수출은 내년 본격 성장 기대<b>경기 침체에 따른 악화를 우려하기에는 너무 좋은 실적</b>1분기에 이어 2분기에도 양호한 실적 예상. 2분기 매출액 490억원(+22.4% y-y), 영업이익 101억원(+30.2% y-y)으로 영업이익률 20% 상회 예상. 3분기에는 B2B향 매출 확보로 비수기 공백도 없을 전망9월 중순 TV 광고 론칭 이후 주력 제품인 경량 패딩과 헤비아우터 등의 본격적판매 증가 예상. 올해 동사 스노우피크어패럴 매출은 전년 대비 37% 성장한2,200억원 기록 예상. 경기 침체와 소비 둔화로 올해 타 의류 기업들의 실적 역성장이 예상됨을 감안할 때 동사의 성장세는 더욱 돋보이는 상황2024년 연간 실적은 매출액 2,344억원(+31.7% y-y), 영업이익 436억원(+35.2% y-y) 예상. 시즌을 거듭하면서 스타일이 다양화되고 있을 뿐 아니라신발 등으로 카테고리로 확장되고 있어 지속적인 성장을 기대<b>일본 수출 성장과 적극적인 주주 환원이 포인트</b>올해 일본 내에서 동사 스노우피크어패럴 제품 판매 개시 예상. 일본향 수출 확장은 내년 본격화 기대. 지난 4월 발표한 중장기 주주 환원 정책에도 주목 필요. 동사는 3년 당기순이익의 50%를 주주에 환원하겠다고 공시. 이는 당사 예상에따르면 688억원의 규모로 자사주 매입 및 소각 그리고 배당에 활용될 것. 동사와 같은 고성장 중소기업 중 이와 같은 적극적 주주환원 정책을 제시한 기업은찾아보기 어려운 바, 중장기적으로 주가 흐름에 긍정적으로 작용할 것<b>Summary</b>1991년 아이오시스템으로 설립, 2000년 1월 코스닥 상장. 사명을 기존 버추얼텍에서 2021년 3월 감성코퍼레이션으로변경. 김호선 대표 취임 이후 가상현실(VR) 관련 솔루션, 암호화폐 채굴 솔루션 등 기존 사업이 아닌 스노우피크 등 브랜드 사업에 집중. 휴대폰 주변기기(충전기) 사업에서 160억원 안팎의 매출이 안정적으로 발생 중. 최대주주는 김호선대표로 23.3% 지분 보유 중이며 특수관계인 포함 지분 30.1%를 보유. 참고로 스노우피크가 4.2% 지분을 보유 중",NULL,NH투자증권,NULL,NULL,NULL,NULL
