STK_CD,CMP_NM,TRD_DT,CLOSE_PRC,PRE_CLOSE_PRC,HIGH_PRC,PRC_RTN,HIGH_PRC_RTN,RPT_ID,ANL_DT,RPT_TXT,RPT_TXT_LEN,BRK_NM_KOR,BRK_TARGET_PRC,BRK_TARGET_PRC_DT,BRK_PREV_TARGET_PRC,RECOM_TYP_DT,RECOM_TYP_AVG,RECOM_TYP_MAX,RECOM_TYP_MIN,RECOM_TYP_MID,TARGET_PRC_AVG,TARGET_PRC_AVG_3_MONTHS_BEFORE,TARGET_PRC_MAX,TARGET_PRC_MIN,TARGET_PRC_MID,TARGET_PRC_DIFF,TARGET_PRC_CHG,TARGET_PRC_DT,RECOM_TYP_CNT,TARGET_PRC_CNT,TARGET_PRC_UP_1W,TARGET_PRC_DOWN_1W,TARGET_PRC_HOLD_1W,TARGET_PRC_NEW_1W,TARGET_PRC_UP_DOWN_1W
51360,토비스,2024-08-06,20100,17160,21050,0.17133,0.226689977,956125,2024-08-07,"<b>Not Rated </b><b>토비스 (051360) </b><b>호실적으로 우려 해소 </b>2Q24 Review: 전장사업부의 증명 토비스의 2Q24 잠정 실적은 매출액 1,627억원(+57.5%, YoY), 영업이익 160억원(+107.8%, YoY)으로 호실적을 시현하였다. 이는 1Q24 영업이익 101억원(+236.7%, YoY)에 이어 QoQ +58.4% 성장에 해당된다. 실적 성장의 주된 원인은 지난 1분기부터 이어진 전장사업부의 흑자 턴어라운드 효과에 기인한 것으로 판단된다. 1Q24 전장사업부 매출액 693억원에 이어 2Q24 매출액 850억 이상 시현하였을 것으로 추정되는데 이는 전장용 디스플레이 고객사 및 적용 차종 다변화와 CAPA 증설 효과의 온기 반영에 따른 것으로 보인다. 7월 완성차 지역별 판매 데이터에 따르면 현대차 도매판매 -1%(YoY), 소매판매 -2%(YoY)이고 기아 도매판매 +0%(YoY), 소매판매 -2%(YoY)로 전방이 아쉬운 상황이다. 그러나 토비스의 경우 현대모비스, Denso코리아, 독일의 콘티넨탈을 고객사로 두고 있으며 스텔란티스의 연내 신규 고객사 확보 기대감이 존재하는 등 고객사 다변화가 지속 중이다. 또한 기존 차종에 대한 ‘페이스리프트 물량 + 신규 차종 적용’이 지속 중이기에 전방 산업의 판매량에 따른 동사에 미치는 리스크는 제한적인 것으로 보인다. 금번 호실적을 통해 전장사업부 피크아웃에 대한 우려를 어느정도 해소할 수 있다는 판단이다. <b>모멘텀이 지속되는 전장 + 카지노 본업과 자회사 효과 </b>산업용모니터(카지노 사업부) 사업은 2Q24 670억원 이상의 매출액을 시현한 것으로 추정된다. 경기 침체 우려 및 소비 추이에 따른 변동성은 존재하지만 전방 시장의 확장성은 비교적 안정적일 것으로 예상된다. 23년 말 미국 시카고 카지노 합법화에 이어, 현재 태국, 일본 카지노 합법화 진행에 따라 카지노 슬롯머신에 대한 수요는 유지될 것으로 보이며 기존 슬롯머신에 대한 교체 수요도 대기 중이기에 토비스에게 낙수효과가 기대된다. 산업용모니터 사업에서 주된 비용 이슈는 물류/운반비가 결정적으로 큰 변동성이 없을 경우 고수익성을 지속 유지할 수 있을 것이다. 전장사업부는 서천공장에서 생산되는 '12.3"" + 12.3"" 커브드 디스플레이'가 쏘렌토 하이브리드 등의 차종에 적용 중이며올해 하반기부터 K8에도 납품 시작될 것으로 기대된다. 신규 고객사로 최근 확보한 콘티넨탈은 차량 모델은 수주 완료한 것으로 파악되며 25년 하반기 본격 양산이 시작될 것으로 전망한다. 또한 스텔란티스 향 제품 테스트 승인 마무리 단계인 것으로 파악되며, 24년 연말부터 관련 물량의 출하 시작, 25년부터 실적 반영이 기대된다. 한편 자회사 글로쿼드텍은 전기차 충전 사업 확대로 인해 2Q24 매출액 30억 이상으로 추정되며 사업 추진 속도에 따라 탑라인 성장 및 고마진 효과가 전사 영업이익에 기여할 것으로 보인다. <b>2024년 매출액 6,384억원, 영업이익 528억원 전망 </b>2024년 매출액 6,384억원(+42.7%, YoY), 영업이익 528억원(105.4%, YoY) 예상한다. 24F P/E 7배 수준으로 실적 및 신사업 모멘텀에 따라 밸류에이션 리레이팅 가능하다. <b>추정 재무제표 </b>",NULL,하나증권,NULL,2024-08-07,NULL,2024-08-06,4,4,4,4,30333.33333,24000,32000,29000,30000,0.50912,0,2024-08-06,3,3,0,0,3,0,0
36930,주성엔지니어링,2024-08-06,25100,23200,26350,0.0819,0.135775862,956137,2024-08-07,"<b>BUY (유지) </b><b>주성엔지니어링 (036930) </b><b>차원이 다른 수익성 </b><b>2Q24 Review: 영업이익 서프라이즈 </b>주성엔지니어링의 24년 2분기 매출은 973억원(YoY +207.3%, QoQ +72.1%), 영업이익 361억원(YoY 흑자전환, QoQ +413.7%, OPM 37.1%)을 기록했다. 반도체, 디스플레이 매출이 각각 957억, 42억을 기록했다. 영업이익이 컨센서스를 대폭 상회했는데 [1] 외형성장에 따른 고정비 부담 감소, [2] 중국 고객사향 반도체 장비 비중이 전체 매출의 80%를 상회한 것이 주 요인으로 추정된다(기존 추정치 70%대). 1분기에는 중국 고객사 FAB 일정이 지연되며 일부 매출이 이연된 바 있으나 2분기부터는 장비 출하가 순조롭게 진행되고 있는 것으로 파악된다. 국내 고객사의 경우 국내와 중국 FAB 모두 장비 출하가 계획대로 진행되었고 하반기에는 출하가 더욱 증가할 전망이다. <b>2H24 Preview: 국내 매출 비중 증가 전망 </b>주성엔지니어링의 24년 연간 매출액은 4,175억원(YoY +46.6%), 영업이익은 1,216억(YoY +320.6%, OPM 29.1%)으로 전망한다. 기존 추정치 대비 매출액과 영업이익을 각각 1%, 14% 상향했다. 부문별로는 메모리 반도체 및 디스플레이 매출이 각각 3,713억원, 462억원 발생할 것으로 추정했다. 메모리 반도체의 경우 중국향 장비 출하가 지속되는 가운데 하반기에 국내 고객사향 장비 출하가 집중되어 있어 전사 매출 내 국내 비중이 확대될 것으로 예상된다. 디스플레이 부문은 8세대 IT OLED향 보완투자로 하반기에 장비 매출이 본격적으로 반영될 전망이다. 아울러 주성엔지니어링의 북미 비메모리향 장비 출하는 24년 말~25년 초까지 지연될 가능성이 있는 것으로 파악된다.  <b>이익률로 증명하는 본업의 경쟁력 </b>‘BUY’, 목표주가 46,000원을 유지한다. 주성엔지니어링은 경기침체에 대한 우려로 지난 1주간 8.7%, 1개월간 28.8% 하락했고 매크로 불확실성으로 주가 변동성은 당분간 지속될 것으로 예상된다. 다만, 본업의 경쟁력은 이익률로 증명되었으며 국내 고객사향 장비 출하 확대는 25년까지 이어지며 영업환경이 개선될 전망이다. 미국 정부의 중국 수출규제 관련 동맹국은 제외할 것이라는 보도로 중국향 매출비중에 대한 <b>추정 재무제표 </b>",NULL,하나증권,46000,2024-08-07,46000,2024-08-06,4,4,4,4,47888.88889,48833.33333,56000,39000,46000,0.90792,0,2024-08-06,9,9,0,0,9,0,0
90430,아모레퍼시픽,2024-08-06,165800,159700,177900,0.0382,0.113963682,956160,2024-08-07,NULL,NULL,신한투자증권,NULL,2024-08-07,220000,2024-08-06,4,4,4,4,220769.2308,200000,240000,200000,220000,0.33154,0.00677,2024-08-06,13,13,0,0,13,0,0
90430,아모레퍼시픽,2024-08-06,165800,159700,177900,0.0382,0.113963682,956156,2024-08-07,"<b>BUY (유지) </b><b>아모레퍼시픽 (090430) </b><b>2Q24 Review: 중국발 역풍 </b><b>2Q24 Review: 중국발 역풍 </b>아모레퍼시픽의 2분기 실적은 연결 매출 9천억원(YoY-4%), 영업이익 42억원(YoY-29%, 이익률 0.5%)으로 컨센서스 695억원을 크게 하회했다. 하회 요인은 ①중국 구조조정 역풍,  ②면세 매출 급감, ③기대에 못 미친 COSRX 손익, ④국내 마케팅 비용 확대 등에 기인한다. COSRX 연결 편입 실적을 제외한 아모레퍼시픽 실적은 매출 14% 감소(분기 9천억원 하회), 영업손실 250억원 추산, 전반적으로 중국 관련 매출 급감이 전사 이익에 영향을 주었다. ▶국내 화장품은 매출 4.2천억원(YoY-8%), 영업이익 206억원(YoY-35%, 이익률 5%)으로 부진했다. 전통 채널 매출 하락, 면세 매출 급감(810억원, YoY-27%, QoQ-28%)을 ‘이커머스/MBS 채널’의 성장이 일부 상쇄했다. 수익성은 전년동기비 2%p 하락했는데, 매출 감소/믹스 하락(럭셔리 감소)로 원가율 상승, 헤라/라네즈/설화수의 마케팅 투자 확대 등의 영향이다. ▶해외는 매출 3.8천억원(YoY+2%), 영업이익 51억원(흑자전환) 시현했다. 다만 COSRX 연결 편입 제외 시 매출 22% 감소, 영업손실 200억원 이상 추산한다. 중화권이 크게 부진했으며, 북미/EMEA/동남아는 견조했다. ①중국은 매출 54% 감소, 영업손실 390억원 추산한다. 구조조정 중이며, 이커머스 거래구조 변경에 따른 매출 공백과 재고환입(150억원)으로 손익이 급감했다. 대다수 브랜드는 50% 이상 감소했으며, 그나마 마케팅 비중은 축소되었다. ②미국은 매출 1.2천억원(YoY+65%), 영업이익은 302억원(YoY+1412%) 추산된다. COSRX 제외 시, 매출 10% 이상 성장, 이익률 10% 초반 달성했다. 라네즈가 하이싱글, 이니스프리가 30% 이상 성장, 세포라/아마존 중심으로 확장 중이다. ③유럽은 매출 373억원(YoY+182%), 영업이익은 63억원(YoY+3071%, 이익률 17%) 파악된다. COSRX 제외 시 매출 10% 후반 성장했다. ▶COSRX는 5~6월 연결 편입 되었으며, 매출 YoY+45%(QoQ-7%), 영업이익 32% 성장(이익률 30%) 추산한다. 모든 지역 성장했으며, EMEA/인도/아세안이 특히 강했다. 북미는 전분기비 감소했는데, 2분기 비수기 영향이며 하반기 성수기 돌입에 따라 상저하고 흐름 이어갈 것이다. 마케팅 비중은 특이사항 없으며, 프라임 데이 대응 확대로 재고충당 금액 증가, 전분기비 원가율이 상승했다. 수요 견조함에 따라 연간 가이던스(50% 성장)는 유지했다. <b>2024년: 글로벌 리밸런싱 긍정적 VS 중국 구조조정 영향권 </b>COSRX의 글로벌 점유율 확대, 라네즈/이니스프리가 비중국에서 동반 확대되는 부분은 상당히 긍정적이다. 특히 이번 분기 처음 서구권 매출이 가장 커진 점, EMEA/아세안으로의 기회 요인이 확대된 점은 우호적이다. 다만, 중국의 구조조정 역풍이 거세다. 이번 분기 처음 인식된 COSRX의 이익을 넘어서는 손실이며, 하반기 또한 여전히 중국 구조조정 영향권이다. 중국 비수기+구조조정 비용 반영으로 3분기 중국은 2분기비 영업손실이 확대될 것으로 보인다. 회사는 구조조정 후, 흑자전환 시점을 2025년 상반기로 제시했다. 아모레퍼시픽의 2024년 실적은 연결 매출 3.9조원(YoY+6%), 영업이익 2천억원(YoY+94%) 전망하며, 투자의견 BUY 유지, 중국 추정치 하향 조정 등으로 목표주가를 19만원으로 하향한다. <b>추정 재무제표 </b>",NULL,하나증권,NULL,2024-08-07,220000,2024-08-06,4,4,4,4,220769.2308,200000,240000,200000,220000,0.33154,0.00677,2024-08-06,13,13,0,0,13,0,0
90430,아모레퍼시픽,2024-08-06,165800,159700,177900,0.0382,0.113963682,956139,2024-08-07,"아모레퍼시픽의 2Q24 연결 실적은 매출액 9,048억원, 영업이익 42억원을 기록하며 어닝쇼크를 시현했다. 특히, 시장에서 기대하고 있던 코스알엑스 실적이 당분기부터 각 부문에 반영되었음을 감안하면 크게 실망스러운 수준이다. 다만, 이에 따른 일회성 영업외이익(지분법주식처분이익, 파생상품이익 등) 약 5천억원으로 순이익은 폭증했다. 부문별로, 1) 국내 화장품은 매출액 yoy -8%, 영업이익 yoy -34%를 시현했는데, 이는 일부 성장 채널(MBS, 순수 국내 이커머스)의 판매 호조에도 면세 및 뉴커머스(방판) 등 규모가 큰 채널들이 역성장했기 때문이다. 세그먼트별 매출로는 설화수 등 럭셔리 카테고리가 yoy -7% 시현한 반면, 라네즈 등 프리미엄 브랜드가 yoy +4% 성장했는데 이는 코스알엑스가 프리미엄에 반영된 효과이다. 2) 데일리뷰티는 매출 yoy -8%, 영업이익 -54억원으로 yoy 적자전환하였다. 프리미엄 위주의 제품 포트폴리오 정비로 마트 및 글로벌 이커머스에서 외형 축소가 지속되었으며 마케팅비 역시 증가한 결과이다. 3) 해외 화장품은 매출액 yoy +3%, 영업이익 51억원으로 yoy 흑자전환했다. 그러나, 중국에서 매출이 현지화 기준 yoy -50% 이상 하락하고 적자 규모도 400억원 수준을 기록하는 등 예상보다 구조조정 영향이 컸고, 미국 내 코스알엑스 추정 매출이 약했다는 점에서 아쉽다. 코스알엑스 제외한 북미 organic growth는 예상했던 10% 수준을 시현한 것으로 파악된다. 하반기에도 우려는 쉽사리 불식되지 않을 전망이다. 회사측은 3Q24에도 중국 매출 약 40% 이상 감소 및 2Q와 유사한 적자 규모를 제시했으며, BY2025(3Q24-2Q25) 연간으로도 10-20% 하락을 예상하였다. 면세의 경우도 구조적으로 지속적인 축소가 예상된다. 이밖에 당사가 우려하는 점은 국내 성장 채널에서의 마케팅 확대 기조로 인한 수익성 하락 지속 가능성과 코스알엑스에 대한 한껏 높은 시장 기대치 등이다. 당분간 주가 부진이 불가피할 것으로 보이며, 해당 요소들의 안정화가 필요한 상황으로 판단한다. ",NULL,상상인증권,200000,2024-08-07,200000,2024-08-06,4,4,4,4,220769.2308,200000,240000,200000,220000,0.33154,0.00677,2024-08-06,13,13,0,0,13,0,0
90430,아모레퍼시픽,2024-08-06,165800,159700,177900,0.0382,0.113963682,956164,2024-08-07,NULL,NULL,한국투자증권,NULL,2024-08-07,240000,2024-08-06,4,4,4,4,220769.2308,200000,240000,200000,220000,0.33154,0.00677,2024-08-06,13,13,0,0,13,0,0
66970,엘앤에프,2024-08-06,101500,92400,102900,0.09848,0.113636364,956144,2024-08-07,"<b>엘앤에프 (066970) </b><b>승부처는 신제품이 출시되는 연말연초 </b>엘앤에프에 대한 투자의견 Buy를 유지하지만, 목표주가는 140,000원으로 하향한다. 목표주가는 DCF 방식 (현금흐름방식)으로 산출되었고, WACC은 8.51% (COE 11.18%, 세후 COD 5.77%, 60개월 조정 Beta 1.29)를 적용했다. 목표주가를 하향한 이유는 ① 전방 시장 성장세 둔화를 고려해 엘앤에프의 향후 7년 생산능력 CAGR을 기존 +16%에서 +12%로 하향했고, ② 같은 기간 영업이익률 추정치 (평균 4.2% → 2.6%, 2024년 -16.6% 포함)도 하향 조정했기 때문이다. 목표주가에 대한 Implied 12M Fwd P/B는 5.03배이며, 8월 6일 종가 기준 상승여력은 37.9%다. 엘앤에프의 2024년 2분기 실적은 매출액 5,548억원 (-59% YoY), 영업적자 842억원 (적자전환, 영업이익률 -15.2%)을 기록해 컨센서스를 하회했다. 양극재 판매량은 전분기 대비 +3% 증가했으나, ASP는 리튬 가격 하락분이 연동되어 -15% 하락했다. 높은 원가로 제조된 재고가 소진되며 적자 폭은 전분기 대비 축소 (1Q24 -2,038억원)되었으나, 낮은 가동률로 인해 고정비 부담이 증가함에 따라 적자를 피할 수 없었다. 엘앤에프는 하반기 양극재 판매량이 상반기 대비 -7% 감소할 것으로 전망했는데, NCMA (원통형 하이니켈) 제품은 상반기 대비 +9% 증가하나 NCM (파우치형 미드니켈) 제품이 -28% 감소할 것으로 예상했기 때문이다. 엘앤에프의 2024년 3분기 실적은 매출액 3,912억원 (-69% YoY), 영업적자 469억원 (적자전환, 영업이익률 -12.0%)으로 추정된다. 지난 1분기 소폭 반등한 리튬 가격이 판가에 반영됨에 따라 ASP는 전분기 대비 +3% 증가할 것으로 예상되나, NCM 제품의 출하량이 급감함에 따라 전사 양극재 판매량도 -31% 감소할 것으로 전망되기 때문이다. 다만 4분기부터는 니켈 함량 95%의 NCMA 신제품 출하가 시작되어 출하량 급반등 (+67% QoQ 추정)과 실적 개선이 전망되므로 엘앤에프에 대한 긍정적인 시각을 유지한다. ",NULL,KB증권,NULL,2024-08-07,200000,2024-08-06,3.9375,4,3,4,227812.5,247857.1429,300000,160000,220000,1.24446,0,2024-08-06,16,16,0,0,16,0,0
66970,엘앤에프,2024-08-06,101500,92400,102900,0.09848,0.113636364,956157,2024-08-07,"<b>[2차전지] </b>2차전지 섹터 전반은 24년 하반기 및 25년에 대한 눈높이 하향을 반영하는 시기. 동사의 경우 제품 기술력 우위를 바탕으로 4Q24~1Q25 중 신제품 공급과 고객사 내 점유율 회복을 시도 중. 시장 불확실성 큰 환경에서 반등을 꾀하는 시점이 명확하다는 점이 투자 포인트 <b>2Q24 Review: 올해는 대규모 적자가 불가피 </b>2Q24 매출 5,548억원(-59% YoY, -13% QoQ)으로 시장 기대치를 17% 하회. 주요 EV(전기차) 고객사향 NCMA90 물량이 24%(QoQ) 감소했고, 물량 대폭 증가를 기대했던 NCM523도 ESS(에너지 저장 장치) 수요 부진으로 +63%(QoQ)를 기록해 기대치(+90~100%)를 하회. 물량 감소로 고정비 부담 늘어나면서 영업손익 -842억원(적자전환 YoY, 적자지속 QoQ)으로 대규모 적자를 지속. 평균 판가 26달러/kg(-15% QoQ) 기록해 아직은 스프레드 축소 국면 재고자산 축소(-45% YoY, -5% QoQ), 투자 속도 조절 등 현금흐름 개선 노력 지속하고 있어 대규모 손실에도 현금 감소는 제한적으로 방어. 신제품(원통형 4680, 21700 업그레이드, 미드니켈, LFP) 개발 및 고객 대응을 적극적으로 진행하고 있어 신규 수요 확보를 통해 업황 둔화기에 대응 중 <b>Valuation & Risk </b>2Q24 실적 발표에서 다수의 기업들이 수요 개선 시점을 늦춤에 따라 밸류에이션 기준을 하향 조정. 26F EV/EBITDA 16배를 적용(기존 18배)해 목표주가 125,000원으로 -29% 변경  (-) 순차입금 ◆ 2030년 RE100 및 2050년 탄소중립 목표 위해 CCUS 기술 확보, 공정 효율 개선, 탄소 배출 원료 대체 ◆ 대구 및 경북 지역인재 채용 및 사회공헌 위해 임직원 참여형 기부 프로세스 및 사내 봉사단 운영 ◆ 이사회 산하 ESG위원회 신설 및 ESG 전담 부서 운영으로 전사 ESG 경영 기획 및 협업 지원 ",NULL,신한투자증권,NULL,2024-08-07,175000,2024-08-06,3.9375,4,3,4,227812.5,247857.1429,300000,160000,220000,1.24446,0,2024-08-06,16,16,0,0,16,0,0
66970,엘앤에프,2024-08-06,101500,92400,102900,0.09848,0.113636364,956162,2024-08-07,NULL,NULL,키움증권,NULL,2024-08-07,250000,2024-08-06,3.9375,4,3,4,227812.5,247857.1429,300000,160000,220000,1.24446,0,2024-08-06,16,16,0,0,16,0,0
181710,NHN,2024-08-06,19170,17660,19620,0.0855,0.110985277,956064,2024-08-07,"<b>매수(유지) </b><b>NHN(181710) </b><b>2Q24 Review: 또 한 번 검증된 이익 체력 </b><b>또 한 번 보여준 안정적인 이익 창출력 </b>2Q24 매출액과 영업이익은 각각 5,994억원(+8.7% YoY, -0.8% QoQ) 285억원(+36.3% YoY, +4.4% QoQ)으로 시장 컨센서스(영업이익 246억원)를 상회했다. 게임 매출액은 1,064억원(-0.7% YoY, -12.7% QoQ)으로 웹보드게임이 견조했음에도 일본 디즈니 쯔무쯔무의 10주년 업데이트 효과가 제거되며 전분기대비 크게 감소했다. 비게임 사업부 매출액은 4,930억원(+11.0% YoY, +2.2% QoQ)을 기록했다. 한편 결제사업부 매출이 2분기에도 안정적인 성장을 이어갔으며 특히 NHN클라우드가 2023년부터 이어진 매출 부진에서 서서히 벗어나고 있다. 전체 영업비용은 5,709억원(+7.6% YoY, -1.1% QoQ)으로, 1분기 발생했던 대손상각비가 제거되며 영업이익률 회복에 기여했다. <b>하반기에는 매출 성장이 기대됨 </b>1분기와 2분기 실적을 통해 NHN의 높은 실적 안정성이 부각됐다. 특히 2분기는 캐시카우인 게임사업부가 부진했음에도 1분기 발생한 대손상각비가 제거되며 마진률이 4.8%로 전분기대비 0.3%p 상승했다. 하반기부터는 서서히 매출 성장이 기대된다. 다키스트데이즈 등 게임사업부의 신작 출시가 시작될 예정이며 비게임사업부도 국내 공공기관들의 클라우드 전환이 시작되며 클라우드 사업부의 매출 성장이 기대된다. 2024년 공공기관 클라우드 관련 예산은 2023년 대비 2배 가량 늘어날 전망으로 이 시장에서 높은 점유율을 보유하고 있는 NHN 클라우드는 이에 대한 가장 큰 수혜자가 될 전망이다. <b>좋은 펀더멘털과 부담없는 가격 </b>투자의견 매수 및 목표주가 30,000원을 유지한다. 게임사업부의 신작 출시 일정이 기존 예상보다 늦어지는 것은 아쉽지만 성장 방향성에 큰 이상은 없다. 최근 주가 하락으로 2024년 실적 전망 기준 PER이 12.1배까지 하락해 밸류에이션 부담이 낮다. ",NULL,한국투자증권,30000,2024-08-07,30000,2024-08-06,3.66667,4,3,4,27500,30000,30000,24000,28500,0.43453,0,2024-08-06,6,6,0,0,6,0,0
