STK_CD,CMP_NM,TRD_DT,ADJ_PRC,PREV_ADJ_PRC,ADJ_HIGH_PRC,PRC_CHG,HIGH_PRC_CHG,RPT_ID,RPT_TXT,RPT_TXT_LEN,BRK_NM
52260,현대바이오랜드,2024-07-25,4850,4615,5530,0.05092091,0.198266522,952303,"<b>현대바이오랜드 (052260.KQ)</b><b>저도 중소형 화장품주입니다</b>국내 주요 화장품 브랜드에 납품하는 화장품 원료 기업. 전방산업 반등으로 원료 실적 개선되고 있고 네슬레 건기식 유통 실적도 올해부터 반영되면서 전년 대비 30% 이상 매출 성장 예상<b>이제 관심 좀 가져볼 만한 시기</b>국내 천연물 화장품 원료 기업 중 독보적인 1위로 절반 수준의 시장 점유율을확보 중. 2017년 이후 성장률 둔화와 중국 해문법인 실적 악화로 20%에 달했던영업이익률이 10% 이하까지 하락하며 주가 부진 지속. 그러나 올해 화장품 원료 매출 반등과 네슬레 건강기능식품(건기식) 유통 실적 반영으로 매출은 전년대비 30% 성장한 1,300억원 이상 달성할 것으로 기대동사의 핵심 경쟁력은 천연 성분들을 분리, 정제, 농축하는 천연물 소재 기술로해당 산업 내 플레이어들의 점유율은 큰 변동 없이 유지되고 있음. 이 밖에 건기식 소재, 오스가이드 제품을 대표로 하는 임플란트 소재 사업도 영위 중<b>네슬레와의 건기식 사업 관련 협력 기대</b>올해부터 실적에 반영되는 네슬레 유통 매출이 성장의 핵심. 네슬레의 아시아 시장 확대 시 생산기지로서의 협력까지도 기대 가능. 관련 매출 1Q24 23억원으로시작해 2Q24 60억원으로 늘어날 전망이며 연간 300억원 예상화장품 업황 반등에 원료 사업도 3분기 연속 y-y 성장 중. 올해 매출액 1,363억원(+34.1% y-y), 영업이익 138억원(+95.3% y-y)으로 대폭 개선 예상. 국내 대표 화장품 원료 기업으로 PER 10배 초반 밸류에이션 매력적이라 판단<b>Summary</b>현대바이오랜드는 1995년에 설립된 바이오 기업으로, 주로 천연물 기반의 바이오 원료를 연구 및 생산. 천연 화장품 원료가 대표적으로 천연물 원료 개발에 있어 업계 내 독보적 지위 확보. 대표적인 제품군으로는 피부 미용을 위한 천연 화장품 원료, 건강기능식품 원료, 그리고 임플란트에 사용되는 콜라겐 멤브레인 등 의약품 원료가 있음. 현대백화점그룹 계열사이며 현대퓨처넷이 최대주주로 35.0% 지분 보유 중<b>국내 대표적인 화장품 원료 기업</b>현대바이오랜드는 국내 천연물 화장품 원료 기업 중 독보적인 1위 기업으로, 절반에 가까운 시장 점유율을 확보하고 있다. 다만 팬데믹시기인 2020년 이후 2023년까지 동사는 실적 부진과 성장률 둔화를 겪었다. 주요 요인 중 하나는 중국 해문법인(현재 법인명은 HYUNDAI BIOLAND JIANGSU) 실적 악화이다. 중국 해문법인은 2002년 설립된 법인으로 2010년대초 아모레퍼시픽 등동사 주요 고객사들의 천연 화장품 수요 증가 등 우호적인 시장 환경을 기대했던 법인이다. 그러나 팬데믹 이후 2021년~ 2023년 순손실이 460억원에 달할 정도로 극심한 부진을 겪었다. 해문법인의 부진은 현대바이오랜드의 전사 영업이익이 2018년 17%에서2023년 7%로 낮아지게 된 원인 중 하나였다. 다만 올해부터는 구조조정을 통해 적자폭을 최소화할 전망이다. 최근 해문법인 순손실 폭이 축소되면서 1Q24 현대바이오랜드의전사 분기 영업이익은 40억원 이상으로 회복되었다. 건기식 브랜드(Solgar,Vital Proteins, Puritan’s Pride, Egmont, GO healthy)의 국내 유통을 시작했다. 해당 사업은 2024년 1분기 23억원의매출을 기록했다. 매출액은 2분기 60억원으로 증가할 것으로 예상되며 하반기에도 대폭증가할 전망이다. 연간으로는 300억원으로 전체 매출의 약 20%를 차지할 전망이다. 네슬레와의 협력이 가능했던 것은 네슬레사가 한국 시장 진출에 적극적이었던 데다 전략적 파트너를 찾는 과정에서, 국내 유통 네트워크를 확보한 현대백화점 그룹과 뜻이 맞았기 때문이다. 향후 이 협력의 범위는 국내에 이미 유통되고 있던 네슬레 브랜드뿐만 아니라 아직 유통되지 않은 브랜드까지 확대될 가능성이 크다. 중장기적으로는 네슬레의아시아 시장 확장에 있어 현대바이오랜드가 생산기지 역할을 할 가능성도 있어 보인다. <b>실적 턴어라운드 반영 필요한 시점</b>최근 동사의 주요 고객사인 대형 화장품사들의 실적이 개선되면서 동사 화장품 원료 사업또한 낙수효과를 누릴 것으로 기대된다. 동사 화장품 원료 사업은 2024년 1분기 10% y-y 성장하면서 3분기 연속 y-y 성장을 달성했다. 화장품 원료 매출액은 2024년 580억원(+7.7% y-y)으로 3년만의 턴어라운드를 예상하고 있다. 올해 동사의 실적은 매출액 1,363억원(+34.1% y-y), 영업이익 138억원(+95.3% y-y)으로 전년 대비 큰 폭의 개선이 기대된다. 해문법인의 적자폭 축소와 네슬레 건기식유통, 화장품 원료 사업 개선의 영향이다. 현대바이오랜드에 대해 저평가 매력이 있다고 보는 이유는 다음과 같다. 동사가 영위하는 사업은 각 시장 내에서는 규모가 크지 않지만 전방 산업에서 중요한 역할을 담당하고있다. 특히 동사는 원료 시장 내에서 높은 점유율을 확보 중인 리딩 기업이다. 이런 배경때문에 상장 이후 동사는 평균적으로 20배 이상의 PER을 적용받아 왔다. 올해 예상되는10배 초반에 불과한 PER과 턴어라운드 첫해라는 점을 감안하면 저평가 매력이 충분하다고 판단된다. ",2567,동양종합금융증권
443060,HD현대마린솔루션,2024-07-17,136400,122300,140300,0.11529027,0.147179068,952273,"<b> HD 현대마린솔루션 </b><b>Reuters Code (443060.KS) </b><b>2Q24 Review 사상최대 실적, 편안한 스타트 </b>- 상장 후 첫 실적발표. 2Q24 실적은 매출액 4,379억원(+20%, 이하 전년비), 영업이익 710억원(+30%), 영업이익률 16.2%(+1.2%p) 기록. 컨센서스 없음 - [부문별 매출액] AM솔루션 3,838억원(+29%), 엔진 및 기자재 매출 급증. 친환경솔루션 346억원(-31%), 1세대 개조사업 물량의 감소 영향. 전분기대비로는 14% 성장. 디지털솔루션 195억원(+25%) 신조 증가로 사업 성장 - [영업이익] AM솔루션은 저수익 벙커링 대비 핵심사업 비중 증가(49% -&gt; 54%). 친환경솔루션은 친환경 개조 수요 변화에 따른 매출 감소. 디지털솔루션은 제품 믹스가 좋아짐. 이외 상장 비용 20억원 반영. 영업외 특이사항 없음 - [전망] 매출과 이익에서 과거 3년의 평균치인 20%대 성장이 ‘24년에도 지속될 것. 조선시장이 좋아지는 상황에 대한 서비스 시장 확대의 수혜도 있음 <b>주요 Q&A </b>- 장기서비스계약(LTSA) 추이. 3년 전부터 시작, ‘23년말 기준 1.6억불 잔고, ‘24년에도 비슷하게 성장 중. ‘24년 연말에는 전년비 증가로 끝날 것 - 배당 성향. 배당성향은 50~70%, 분기배당을 했지만 남은 기간 중간 배당과 연간 배당을 계획. 연간 배당을 통해 성향을 맞출 것 - 실적의 계절성. 통상 4분기가 많음, 2분기와 3분기는 휴가일수로 매출이 일부 빠짐. 흐름의 큰 변화는 없음 - 핵심사업 비중 증가. 24%에서 27%로 증가. 발전쪽 매출 증가, 핵심인 중형엔진 이익도 증가 - STX중공업 인수 효과. 7/30 주총 예정, STX중공업과 서비스사업을 같이 하고 있음, STX중공업은 해외 네트워크가 잘 갖춰져 있음, 공급망도 비슷해 대형엔진 부문의 부품 조달 시너지 기대. 인수 시 서비스사업 관련 사업 재편 가능성 - M&A. 최근 지분투자 집행, 오션와이즈 사업 다각화, 해운 ICT 전문 인력 보유한 회사와 전략적 협업 강화 목적, 항만 관련 서비스 진행하는 업체 사업 제휴, 인수 검토는 진행 중이나 단언하기 어려움 - 친환경 파이프라인 업데이트. 수주 공사 중 규모가 커져 매출 인식 시차 발생. 하반기 수주 기대, 상반기 목표했던 FSU, FRSU 개조 공사의 수주 시점이 지연. 3분기 가시적 성과 기대, 매출은 연간 ‘23년 수준 달성이 가능할 것 - 남미 육상발전 엔진 추이. 전력부족으로 큰 프로젝트 수주 예상. 당분간은 성장, 2~3년에 걸쳐 매출화 - 대형 컨테이너선 LNG 추진 트렌드. 개조에서도 비슷한 형태, 초기 메탄올 추진 문의가 많았으나 최근 LNG 추진 문의 증가 ",1365,한국투자증권
241560,두산밥캣,2024-07-12,54600,52000,59500,0.05,0.144230769,952258,"<b>두산밥캣 (241560) </b><b>2Q24 Re 둔화된 업황, 무너진 신뢰 </b><b>[건설장비] </b>2Q24 실적은 높은 기저와 시장 수요 둔화로 어닝 쇼크. 지배구조 재편 작업이 진행 중이며 두산로보틱스와의 시너지는 장기 관점, 단기적으로는 지분 교환 및 합병에 대한 두산밥캣의 가치 희석 우려가 더 크게 작용 <b>2Q24 Review 업황 피크 아웃으로 어닝 쇼크 </b>[2Q24 실적] 매출액 16.3억불(-20%, 이하 전년비), 영업이익 1.7억불(-51%), 영업이익률 10.7%(-6.8%p)를 기록. 원화 기준 매출액 2조 2,366억원, 영업이익 2,395억원이며 컨센 대비 각각 -13%, -29% 하회하는 어닝 쇼크. 금리 인하가 지연되며 판매 감소, 비용 증가가 크게 반영 [지배구조] 두산로보틱스와의 주식 교환 및 공개 매수를 통한 상장폐지 진행. 주식매수청구권 기준 가격 50,459원을 하회, 두산에너빌리티와 두산로보틱스의 주가도 하락세이지만 주매청 자격은 7/11 이사회 결의일 이전 보유자에 한함. 주총 의결이 관건(참여 주식의 2/3 이상 동의 요건) 주식 교환 무산 시 일부 주가 회복이 예상되나 업황 둔화와 신뢰 저하로 회복에 시간이 필요. 주식 교환에 성공해도 로보틱스의 가치를 지지하며 시너지를 보이기에는 시차가 존재. 지금 당장은 두산밥캣의 기존 투자 전략에서 벗어나 분석에 무리가 따름. 상황에 따른 커버리지 제외 예정 <b>Valuation & Risk </b>투자의견을 Trading BUY로 하향, 목표주가를 5만원으로 하향(기존 6.4만원, -21.9%). ‘24년, ‘25년 평균 주당순이익(EPS) 7,317원(기존 ‘24년 추정, -12%)에 비교업체 평균를 30% 할인한 주가수익비율(PER) 6.8배(기존 20% 할인, -7%)를 적용. 지배구조 재편 과정을 지켜볼 수 밖에 없는 구간 <b>ESG Insight </b><b>Analyst Comment </b>◆ EHS(Environment, Health & Saftety) 관리체계를 구축해 시행 중. 지속적인 대기 배출, 용수 관리를 통해 이산화탄소 발생량을 17년 1.78톤에서 19년 1.58톤으로 감축. 동기간 용수 소비 집약도는 835갤런에서 655갤런으로 감소 ◆ 국제인권 선언을 준수하며 사업장에서 인권 보호 실천. 고충 채널을 통해 인권 문제 사전 관리 ◆ 분할로 인해 최대주주가 두산인프라코어에서 두산에너빌리티로 변경. 코로나19 영향 2020년 제외, 꾸준히 배당 확대 <b>Key Chart </b><b>투자의견 및 목표주가 추이 </b>",1282,한국투자증권
82740,한화엔진,2024-07-23,16900,14960,16950,0.129679144,0.13302139,952378,"<b>한화엔진(082740) </b><b>보여주고 증명했다. </b><b>#선박엔진 #DF #AM </b><b>영업이익은 컨센서스를 36% 상회 </b>- 국내외 조선 업황과 엔진 maker의 방향성을 제시한 실적. 2분기 별도 매출액은 2,865억원(+51.5% YoY, -2.3% QoQ), 영업이익은 185억원(+434.3% YoY, -4.6% QoQ, OPM +6.5%)을 기록. 컨센서스와 비교해 매출액은 부합, 영업이익은 35.9% 상회하는 양호한 성과 - 부문별로 선박엔진 부문 매출액은 2,394억원으로 전년동기대비 60.8% 증가. 국내 고객사 향 D/F엔진 인도 실적이 늘어났기 때문. 2분기 선박엔진 인도 실적은 34대로 확인. 고객사 지역별 엔진 인도 수량은 한국(삼성중공업과 한화오션) 25대, 중국 8대, 기타 고객사 1대로 추정 - 비선박엔진 부문 매출액은 471억원으로 전년동기대비 17.5% 증가. 비선박엔진 부문 매출액의 75% 이상을 차지하는 AM(After Market) 서비스 매출액이 같은 기간 동안 23.4% 증가했기 때문. 분기 기준 AM 서비스 매출액은 역대 가장 높은 숫자 <b>선박엔진 부문의 안정적인 성장과 AM 서비스의 가파른 성장이 조화, 목표주가 20,000원 유지 </b>- 일회성 요소 없이 경상적인 체력으로 이뤄낸 실적이라는 점을 강조. 2024년 1분기 매출액에 2023년 4분기 이연 물량(D/F엔진 3대)이 300억원 이상 포함된 점을 감안하면, 2분기 매출액과 영업이익은 사실상 전분기 대비 약 10% 증가한 것이라 볼 수 있음 - 선가 상승에 따른 신규 수주 엔진 가격 인상, D/F엔진 위주 제품 mix에 따른 장기 영업이익률 개선은 거스를 수 없는 트렌드. 2024년 2분기 말까지 확보한 수주잔고는 28,064억원으로 2025년 매출액 추정치 기준 2.2개년치 일감이며, 수주잔량 중 D/F엔진 비중은 90%로 유지 - 비선박엔진 부문의 AM 서비스 매출이 향후 회사 외형을 한단계 높여줄 핵심. D/F엔진 정비가 늘어날 2025년부터 본격적으로 성장할 것. 매수 의견과 목표주가 20,000원(2025년 BPS 추정치 5,250원, 목표 P/B 3.86배, ROE 16.2%, COE 6.9%)을 유지 ",1107,솔로몬투자증권
336370,솔루스첨단소재,2024-07-24,16870,16390,18000,0.02928615,0.098230628,952329,"<b>솔루스첨단소재 </b><b>(336370. KS) </b>16,870 원(07/24) <b>전지박 매출 증가 긍정적  AI향 동박 글로벌 고객사 확대 </b>1,185(십억원) ◼ 2분기 매출, 영업손익은 각 1,493억원, -105억원으로 컨센서스(매출액 1,358억원, 영업적자 91억원) 대비 매출은 상회했으나, 영업손실은 확대. 전지박 물량 증가 불구 낮은 판가와 헝가리 2공장, 캐나다 공장 관련 비용 증가 때문 ◼ 전지박은 유럽 시장 부진 불구 미국 글로벌 전기차업체 신규모델향 매출 증가로 전년비 82% 급증 ◼ 4분기 2공장 가동으로 매출 증가 폭 커질 것. 신규 고객 확보에 따라 내년도 전지박 매출 성장 가시성 영향  ◼ 동박 사업도 매출액 전년비 36% 증가로 호실적. 하이앤드 동박에 대한 고객사 수요 증가가 원인 ◼ AI 가속기용 동박 사업은 글로벌 최대 고객사향은 양산에 진입했고, 추가 1업체와는 소재 승인 후 양산 테스트 중이고 또 다른 업체와도 초기 테스트 진행 중. 관련 매출이 내년에는 동박 전체의 20%로 확대 예상  ◼ 전지박 사업의 영업흑자전환은 내년 1분기로 이연 추정. 감가상각비 고려한 EBITDA는 지난 1분기 24억원으로 흑자전환했고, 2분기에는 63억원으로 확대. 현금흐름 개선되는 구간으로 진입 ◼ 투자의견 BUY, 목표주가 25,000원 유지. AI향 동박 사업 진입에 따른 성장이 밸류에이션 프리미엄 요인으로 작용 당기순이익 적전 PER(배) ROE(%) PBR(배) 스카이레이크 EV/EBITDA(배) 국민연금공단 (외 1인) 2 분기 솔루스첨단소재의 매출액은 1,493 억원으로 전년대비 48% 증가하면서 컨센서스를 상회했다. 하지만, 영업손실은 105 억원으로 컨센서스 91 억원을 초과했다. 전지박 매출이 668 억원으로 전년대비 82% 증가하고, 동박 매출도 36% 증가했다. 전지박 매출은 미국 전기차 고객의 신규 모델 판매가 본격화되면서 커지고 있다. 4 분기말 2 공장 가동에 따라 유럽, 미국에 있는 신규 고객사들과 제품 승인에 대해서 논의를 하고 있다. 전지박은 매출은 크게 증가하고 있으나, 고객사들의 단가 인하 압력과 신규 공장 고정비 증가로 영업흑자로 전환되지 못하고 있다. 하지만, 추가 고객사가 확보되고, 미국 기존 고객사의 신규 모델 판매량이 의미 있게 증가하는 2025 년부터는 흑자전환이 예상된다.  기존 동박사업은 상대적으로 안정적인 마진을 기록하고 있지만, 성장성이 부족했다. 하지만, 최근 AI 확산에 따른 데이터센터 관련 초극저조도 동박의 수요가 증가하면서 동사의 또 다른 성장 축으로 작용할 것으로 판단된다. 글로벌 최대의 GPU 업체에게는 AI 가속기향 동박을 양산 공급하기 시작했고, 다른 2 개업체와도 소재승인, 테스트를 진행 중이다. 올 하반기에는 전체 동박 매출의 약 10%가 AI 향으로 예상되고, 내년에는 비중이 20% 수준으로 증가하는 것으로 가이던스를 주고 있다. 물량 증가에 대비해 일반 동박의 캐파를 AI 향으로 일부 전환하고 추가 증설도 고려하고 있다. 솔루스첨단소재에 대해 투자의견 BUY, 목표주가 25,000 원을 유지한다. 전지박사업은 여전히 적자가 지속되고 있지만, 물량 증가가 확인되고 있고 내년에는 흑자전환 가시성이 높다. 기존의 OLED 사업에 이어 동박사업까지 AI 확산으로 관련부문의 가치가 상승하고 있는 것으로 판단된다. 전지박 부문이 흑자로 전환하기 시작하면 이익 성장 속도가 빨라질 것이다. 전지박의 신규 고객사 확보와 미국 고객의 신규 전기차 모델의 생산량 확대를 눈 여겨 볼 필요가 있다.   <b>솔루스첨단소재(336370.KS) 재무제표 </b>",1791,한화증권
67310,하나마이크론,2024-07-11,19900,19470,21350,0.022085259,0.096558808,952396,"<b>하나마이크론 067310 </b><b>여전히 매력적인 성장성 </b>.  2H24E 고객사 서버 DRAM 제품 인증 완료 및 서버 DDR5 비중 확대 지속 .  대당 탑재량 증가와 응용처 확대에 기인한 모바일 메모리 수요 강세 예상 .  고객사 해외 물량 및 신규 제품군 수주 힘입어 VINA 법인 고성장 지속 .  수익성 훼손 요인인 별도 법인 가동률 및 자회사 실적도 동반 개선 .  투자의견 Buy, 적정주가 28,000원으로 최선호주 의견 제시 <b>서버·모바일 메모리 수요 호조 → 별도 법인 가동률 상승 </b>별도 법인 메모리 패키징 매출액은 2Q24E를 저점으로 성장 궤도에 진입할 전망이다. 범용 서버 업황이 회복중인 가운데 3Q24E 고객사의 DDR5 서버 DRAM 제품 인증 완료가 예정돼있다. 인증이 마무리되는 대로 동사의 수주 물량이 확대될 전망이다. 한편 현재 별도 메모리 매출액의 80% 이상이 모바일 메모리에서 발생하고 있다. On-Device AI로 인한 대당 메모리 탑재량 증가, 저전력 트렌드 속 모바일 메모리의 응용처 확대(랩탑·서버 CPU)는 강력한 가동률 상승 요인으로 작용할 전망이다. <b>수주 제품 다각화 → VINA 법인 가동률 상승 </b>베트남 VINA 법인은 동사 연결 실적 성장의 핵심이다. 2024년 매출액 5,542억원(+64%), 2025년 8,570억원(+55%)을 기록할 전망이다. 3Q24E부터 고객사의 해외 법인에서 수행하던 후공정 물량의 VINA 이전이 본격화된다. 제품 별로는 서버 DDR5 수주가 증가하고 NAND 후공정도 시작한다. HBM 생산 확대로 레거시 메모리 생산 억제 우려가 있지만 외주 범위 확대와 신규 제품 수주로 순조로운 외형 성장이 지속될 전망이다. <b>투자의견 Buy 및 적정주가 28,000원 제시 </b>하나마이크론에 대해 투자의견 Buy와 적정주가 28,000원으로 분석을 개시한다. 적정주가 산출에는 2025E EBITDA에 target multiple 6.7배를 적용했다. 모바일·서버 메모리 업황 호조와 VINA 법인 외주 물량 확대에 힘입어 영업이익 고성장이 예상된다(2024E 영업이익 +89%). 수익성 훼손 요인인 별도 법인 가동률과 자회사 실적 부진이 동반 개선됨에 따라 긍정적 주가 흐름이 이어질 전망이다. <b>하나마이크론 별도 - 2H24E 모바일, 서버 메모리 수요 회복 </b>하나마이크론 별도 매출액은 2Q24E를 저점으로 하반기 반등할 전망이다(2H24E +21% HoH). 메모리 패키징 가동률이 회복된다. 3Q24E 고객사의 DDR5 서버 DRAM 추가 제품 인증 완료가 예상되기 때문이다. 범용 서버 DRAM 수요 개선 속 서버 DRAM의 패키징 매출 내 비중 확대가 이뤄질 예정이다. 4Q24E 이후 모바일 DRAM 수요 급증도 긍정적이다. 모바일 메모리는 별도 법인 메모리 패키징 매출액의 80% 이상을 차지한다. 2H24E 스마트폰 업체들의 메모리 재고 축적, On-Device AI로 인한 대 당 메모리 탑재량 증가는 동사의 가동률 상승 요인으로 작용할 전망이다. 저전력이 강조되는 트렌드에 따라 LPDDR의 응용처는 스마트폰 중심에서 랩탑과 서버 CPU까지 확대되고 있다. 서버와 모바일, 동사의 두 주요 응용처의 수요 환경이 2H24E 극적으로 개선될 전망이다. <b>비메모리 테스트 - 견조한 가동률과 외형 성장 지속 </b>2Q24E 별도 비메모리 테스트 가동률은 1Q24에 이어 65% 이상의 양호한 수준을 기록할 전망이다. 1H24 ‘엑시노스 2400’의 갤럭시S 재탑재 후 고객사 스마트폰의 출하량 호조에 기인한 것으로 판단된다. 가동률이 1H23 60% 미만에서 1H24 65% 이상으로 회복되며 2Q24E도 전년 대비 성장을 이어나갈 전망이다. 비메모리 테스트 외형 확대도 계속된다. 2019년부터 세 차례 투자를 통해 테스트 생산능력을 확대해왔다. 2024년 6월, 686억원 규모 비메모리 테스트 설비 투자를 공시했다. 국내 고객사 AP의 테스트 생산능력 확대를 위한 것으로 판단된다. 4Q24E 장비 반입 후 1Q25E부터 본격 가동될 전망이다. 고객사 AP의 내년 하이엔드 스마트폰 탑재 여부에 관한 불확실성이 일부 언론을 통해 제기되고 있다. 탑재 여부는 3Q24E 중 확정될 전망이다. 테스트 capa 증설을 공시한 시점이기 때문에 동사의 가동률에 대한 우려도 함께 제기되고 있다. 해당 제품의 채택 여부가 동사 가동률에 미칠 영향은 제한적일 것으로 예상한다. 통상 증설 직후 실적 반영이 이뤄진 것으로 볼 때 추가 투자 시에는 고객사와의 협의가 선행되는 것으로 판단된다. 가동률 급감을 경험한 직후 이뤄진 투자인 만큼 가동률 보전에 대한 논의가 이뤄졌을 것으로 예상한다. 하이엔드 AP의 탑재 불발 시 중저가 모델향 제품 수주를 통해 가동률 확보가 이뤄질 전망이다. <b>해외 법인 - 제품 다변화를 통한 가동률 보전 </b>Hana Micron Vina (이하 VINA 법인)의 매출액은 2024년 +64% YoY (이하 YoY), 2025년 +55% 성장이 예상된다. 기존 수행하던 고객사 국내 공장 물량에 더해 해외 후공정 공장의 물량이 VINA 법인에 더해질 전망이다. 본격 실적 기여는 장비 설치 이후 3Q24E로 예상된다. HBM 생산 증가에 따른 레거시 DRAM 생산 억제 우려가 있으나 동사에 미칠 영향은 제한적으로 예상한다. VINA 법인 성장의 핵심은 외주 비중 확대다. 충칭 공장 등 외주 범위 확대, 신규 제품 수주가 올해 실적 성장을 견인할 전망이다. 제품 다변화를 통한 연중 높은 수준의 가동률 유지가 예상된다. 현재 생산되는 제품 중 서버 DRAM의 비중은 90% 이상(DDR5 비중 &gt;60%)이다. DDR5 생산 확대로 2H24E 서버 DRAM 내 DDR5 비중은 70%를 넘어설 전망이다. 2H24E부터는 NAND 후공정도 개시할 예정이다. 브라질 사업도 회복된다. 5개 분기 만의 QoQ 성장에 성공할 전망이다(2Q24E +2% QoQ). 2023년 매출 감소(-37%)의 원인이었던 메모리 가격이 회복됐다(2Q24 현물가 DDR4 4Gb +15%, 8Gb +22%). 5월 초, HT 법인 인근에서 발생한 홍수 피해 수습도 빠르게 완료되며 우려 대비 양호한 실적을 기록할 전망이다. <b>투자의견 Buy, 적정주가 28,000원 제시 </b>하나마이크론에 대해 투자의견 Buy, 적정주가 28,000원으로 분석을 개시한다. 적정주가는 2025E EBITDA에 Target Multiple 6.7배를 적용해 산출했다. 6.7배는 SK하이닉스와의 외주 공급 계약 직후인 1H22 평균 EV/EBITDA이다. 2024-2025E는 메모리 가동률 상승과 해외 법인 증설에 따른 큰 폭의 이익 성장이 예상되는 시점이다. 현금성 이익 성장에 기반한 가치 평가가 유효하다는 판단이다. VINA 법인의 성장이 견조한 가운데 (2024E 매출액 +64% YoY), 별도 법인 업황도 반전된다. 부진한 수익성의 원인이었던 저조한 별도 법인 메모리 가동률이 2H24E 회복하며 수익성이 개선될 전망이다. 레거시 메모리 수요 회복, 메모리 후공정 외주의 구조적 확대 수혜를 온전히 받을 것으로 예상한다. <b>하나마이크론 (067310) </b>",3547,HMC투자증권
