STK_CD,CMP_NM,TRD_DT,CLOSE_PRC,PRE_CLOSE_PRC,HIGH_PRC,PRC_RTN,HIGH_PRC_RTN,RPT_ID,ANL_DT,RPT_TXT,RPT_TXT_LEN,BRK_NM_KOR,BRK_TARGET_PRC,BRK_TARGET_PRC_DT,BRK_PREV_TARGET_PRC,RECOM_TYP_DT,RECOM_TYP_AVG,RECOM_TYP_MAX,RECOM_TYP_MIN,RECOM_TYP_MID,TARGET_PRC_AVG,TARGET_PRC_AVG_3_MONTHS_BEFORE,TARGET_PRC_MAX,TARGET_PRC_MIN,TARGET_PRC_MID,TARGET_PRC_DIFF,TARGET_PRC_CHG,TARGET_PRC_DT,RECOM_TYP_CNT,TARGET_PRC_CNT,TARGET_PRC_UP_1W,TARGET_PRC_DOWN_1W,TARGET_PRC_HOLD_1W,TARGET_PRC_NEW_1W,TARGET_PRC_UP_DOWN_1W
145020,휴젤,2024-08-07,255000,226000,266500,0.12832,0.17920354,958015,2024-08-13,NULL,NULL,한국투자증권,300000,2024-08-13,300000,2024-08-13,4,4,4,4,318000,255000,350000,300000,310000,0.23495,0.03415,2024-08-13,5,5,1,0,3,1,1
200670,휴메딕스,2024-08-06,30950,28250,31150,0.09558,0.102654867,958018,2024-08-13,NULL,NULL,한국투자증권,51000,2024-08-13,51000,2024-08-13,4,4,4,4,53000,53333.33333,55000,51000,53000,0.50782,0,2024-08-13,3,3,0,0,3,0,0
137400,피엔티,2024-08-06,54500,49200,55000,0.10772,0.117886179,958026,2024-08-13,,NULL,미래에셋증권,96700,2024-08-13,96700,2024-08-13,4,4,4,4,96700,60000,96700,96700,96700,0.67301,0,2024-08-13,1,1,0,0,1,0,0
137400,피엔티,2024-08-06,54500,49200,55000,0.10772,0.117886179,958110,2024-08-13,NULL,NULL,미래에셋증권,96700,2024-08-13,96700,2024-08-13,4,4,4,4,96700,60000,96700,96700,96700,0.67301,0,2024-08-13,1,1,0,0,1,0,0
323280,태성,2024-08-06,9820,8740,10350,0.12357,0.184210526,958036,2024-08-13,"<b>IT부품/전기전자 </b><b>Not Rated </b><b>(323280) 태성 </b><b>기존 PCB 설비 경쟁력이 유리기판까지 </b><b>PCB 핵심 설비 제조 기업 </b>태성은 PCB의 핵심 설비를 제조하는 기업으로 회로형성, 식각, 레지스트 박리, 외형 가공으로 이어지는 PCB 제조 핵심 공정에 필요한 장비를 개발 및 제조. 특히 현상, 식각, 박리 공정 설비인 D.E.S Line은 세계 최고 수준의 기술력을 확보. 또한 PCB 제조에 필요한 핵심 전처리 공정을 Turn-Key로 자동화공정을 구축할 수 있다는 점이 동사의 핵심 경쟁력. 국내 PCB 대기업들과 Foxconn의 자회사 ZDT 등 세계적인 PCB 제조사들에게 동사의 장비를 납품한 레퍼런스 존재. <b>기존 PCB 설비 경쟁력이 유리기판까지 </b>태성은 비접촉 기반의 유리기판의 세정, 현상, 식각, 박리가 가능한 설비를 개발 완료한 것으로 파악. 제조 공정 내 PCB를 고정하거나 정확한 위치를 설정해주는 보조장치인 JIG를 활용한 비접촉 설비와 D.E.S Line의 역량을 통해 개발. 기술 특허를 출원한 상황으로 올해 4분기에 데모 설비 개발이 목표. D.E.S 중 핵심은 식각. 전반적인 유리기판 공정 중 식각은 핵심 공정이될 것으로 전망. TGV 공정에도 식각이 필요하며, 미세회로 패턴에 장점을 가지는 유리 소재 특성을 살리기 위해 정밀한 식각 기술이 필요하기 때문. 특히 동사의 비접촉 기술은 깨지기 쉬운 유리 소재를 양산 수율까지 끌어 올리는데 기여할 전망. 유리기판을 개발하고 있는 글로벌 기업들의 테스트 요청을 지속적으로 받고 있는 것으로 파악. 유리기판은 결국 유리 소재를 다루는 역량, 반도체 역량, PCB 제조 역량이 혼재된 기술. 유리기판 공정 내 동사의 역할이 분명하게 존재한다고 판단. <b>추가 신사업까지 포진 </b>태성은 기존 PCB 역량을 바탕으로 하는 유리기판 설비 사업 외에도 2차전지용 음극재 도금 장비인 복합동박용 RTR도금 장비, 특허를 가지고 있는 특수 흑화 도금 방식을 적용한 고해상도용 카메라 조리개 모듈 사업을 준비. 특히 복합동박용 RTR도금 장비는 글로벌 Top-Tier 2차전지 셀메이커향 양산이 기대. 6개국 특허 출원을 완료했고, 고객사와 협의하는 단계로 파악. 카메라 조리개 모듈도 국내 Top-Tier 기업과 퀄 테스트를 진행하고 있는 단계. 기존 사업 역량을 토대로 다양한 신규 사업이 기대되는 시점. ",NULL,흥국증권,NULL,2024-08-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
323280,태성,2024-08-08,11270,9930,11680,0.13494,0.176233635,958036,2024-08-13,"<b>IT부품/전기전자 </b><b>Not Rated </b><b>(323280) 태성 </b><b>기존 PCB 설비 경쟁력이 유리기판까지 </b><b>PCB 핵심 설비 제조 기업 </b>태성은 PCB의 핵심 설비를 제조하는 기업으로 회로형성, 식각, 레지스트 박리, 외형 가공으로 이어지는 PCB 제조 핵심 공정에 필요한 장비를 개발 및 제조. 특히 현상, 식각, 박리 공정 설비인 D.E.S Line은 세계 최고 수준의 기술력을 확보. 또한 PCB 제조에 필요한 핵심 전처리 공정을 Turn-Key로 자동화공정을 구축할 수 있다는 점이 동사의 핵심 경쟁력. 국내 PCB 대기업들과 Foxconn의 자회사 ZDT 등 세계적인 PCB 제조사들에게 동사의 장비를 납품한 레퍼런스 존재. <b>기존 PCB 설비 경쟁력이 유리기판까지 </b>태성은 비접촉 기반의 유리기판의 세정, 현상, 식각, 박리가 가능한 설비를 개발 완료한 것으로 파악. 제조 공정 내 PCB를 고정하거나 정확한 위치를 설정해주는 보조장치인 JIG를 활용한 비접촉 설비와 D.E.S Line의 역량을 통해 개발. 기술 특허를 출원한 상황으로 올해 4분기에 데모 설비 개발이 목표. D.E.S 중 핵심은 식각. 전반적인 유리기판 공정 중 식각은 핵심 공정이될 것으로 전망. TGV 공정에도 식각이 필요하며, 미세회로 패턴에 장점을 가지는 유리 소재 특성을 살리기 위해 정밀한 식각 기술이 필요하기 때문. 특히 동사의 비접촉 기술은 깨지기 쉬운 유리 소재를 양산 수율까지 끌어 올리는데 기여할 전망. 유리기판을 개발하고 있는 글로벌 기업들의 테스트 요청을 지속적으로 받고 있는 것으로 파악. 유리기판은 결국 유리 소재를 다루는 역량, 반도체 역량, PCB 제조 역량이 혼재된 기술. 유리기판 공정 내 동사의 역할이 분명하게 존재한다고 판단. <b>추가 신사업까지 포진 </b>태성은 기존 PCB 역량을 바탕으로 하는 유리기판 설비 사업 외에도 2차전지용 음극재 도금 장비인 복합동박용 RTR도금 장비, 특허를 가지고 있는 특수 흑화 도금 방식을 적용한 고해상도용 카메라 조리개 모듈 사업을 준비. 특히 복합동박용 RTR도금 장비는 글로벌 Top-Tier 2차전지 셀메이커향 양산이 기대. 6개국 특허 출원을 완료했고, 고객사와 협의하는 단계로 파악. 카메라 조리개 모듈도 국내 Top-Tier 기업과 퀄 테스트를 진행하고 있는 단계. 기존 사업 역량을 토대로 다양한 신규 사업이 기대되는 시점. ",NULL,흥국증권,NULL,2024-08-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
323280,태성,2024-08-12,12470,11500,12980,0.08435,0.128695652,958036,2024-08-13,"<b>IT부품/전기전자 </b><b>Not Rated </b><b>(323280) 태성 </b><b>기존 PCB 설비 경쟁력이 유리기판까지 </b><b>PCB 핵심 설비 제조 기업 </b>태성은 PCB의 핵심 설비를 제조하는 기업으로 회로형성, 식각, 레지스트 박리, 외형 가공으로 이어지는 PCB 제조 핵심 공정에 필요한 장비를 개발 및 제조. 특히 현상, 식각, 박리 공정 설비인 D.E.S Line은 세계 최고 수준의 기술력을 확보. 또한 PCB 제조에 필요한 핵심 전처리 공정을 Turn-Key로 자동화공정을 구축할 수 있다는 점이 동사의 핵심 경쟁력. 국내 PCB 대기업들과 Foxconn의 자회사 ZDT 등 세계적인 PCB 제조사들에게 동사의 장비를 납품한 레퍼런스 존재. <b>기존 PCB 설비 경쟁력이 유리기판까지 </b>태성은 비접촉 기반의 유리기판의 세정, 현상, 식각, 박리가 가능한 설비를 개발 완료한 것으로 파악. 제조 공정 내 PCB를 고정하거나 정확한 위치를 설정해주는 보조장치인 JIG를 활용한 비접촉 설비와 D.E.S Line의 역량을 통해 개발. 기술 특허를 출원한 상황으로 올해 4분기에 데모 설비 개발이 목표. D.E.S 중 핵심은 식각. 전반적인 유리기판 공정 중 식각은 핵심 공정이될 것으로 전망. TGV 공정에도 식각이 필요하며, 미세회로 패턴에 장점을 가지는 유리 소재 특성을 살리기 위해 정밀한 식각 기술이 필요하기 때문. 특히 동사의 비접촉 기술은 깨지기 쉬운 유리 소재를 양산 수율까지 끌어 올리는데 기여할 전망. 유리기판을 개발하고 있는 글로벌 기업들의 테스트 요청을 지속적으로 받고 있는 것으로 파악. 유리기판은 결국 유리 소재를 다루는 역량, 반도체 역량, PCB 제조 역량이 혼재된 기술. 유리기판 공정 내 동사의 역할이 분명하게 존재한다고 판단. <b>추가 신사업까지 포진 </b>태성은 기존 PCB 역량을 바탕으로 하는 유리기판 설비 사업 외에도 2차전지용 음극재 도금 장비인 복합동박용 RTR도금 장비, 특허를 가지고 있는 특수 흑화 도금 방식을 적용한 고해상도용 카메라 조리개 모듈 사업을 준비. 특히 복합동박용 RTR도금 장비는 글로벌 Top-Tier 2차전지 셀메이커향 양산이 기대. 6개국 특허 출원을 완료했고, 고객사와 협의하는 단계로 파악. 카메라 조리개 모듈도 국내 Top-Tier 기업과 퀄 테스트를 진행하고 있는 단계. 기존 사업 역량을 토대로 다양한 신규 사업이 기대되는 시점. ",NULL,흥국증권,NULL,2024-08-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23160,태광,2024-08-06,15750,14380,16140,0.09527,0.122392211,957961,2024-08-13,"<b>Company Note </b><b>태광 </b><b>(023160) </b><b>2Q24 Review: 하반기를 기대 </b><b>투자포인트 및 결론 </b>- 동사의 2Q24 실적은 매출액 655억원(-10.7% qoq, -20.3% yoy), 영업이익 98억원(-23.6% qoq, -45.7% yoy) 기록 - HYTC 매출액이 88억원. 영업이익률 3.7%로 부진한 실적을 기록하였으며, 소재별 매출 비중은 카본 60%, SUS/Alloy 40%를 기록 <b>주요이슈 및 실적전망 </b>- 2Q24 수주잔고는 1139억원 수준이며, 누적 기준 조선해양 비중이 12.4%를 차지. 동사의 경우 카본 매출 비중이 높아 수익성 개선이 기대에 미치지 못했음 - 2H24 신규 수주를 기대해 볼만한 프로젝트는 HD현대중공업의 Coral FLNG, 카타르 Northfield South, 사우디 Amiral, 사우디 Zuluf 프로젝트 등이 있음 - 카타르는 최근 NorthField LNG 증산 프로젝트를 통해 연 7,700만 톤에서 2030년까지 연 1억4,200만 톤, 현 생산량 대비 84% 증산을 추진 중으로 향후 동사의 수주 모멘텀을 기대해 볼만 한 상황 - 자회사인 HYTC의 전방 산업의 부진이 영향을 줄 것으로 전망되나, 3Q24부터 인도네시아 법인 가동에 따른 비용 정상화에 대한 기대감이 있음 <b>주가전망 및 Valuation </b>- 전반적인 업황 저점을 확인하였으나, 회복 속도는 HYTC로 인해 수익성 개선이 더딜 것으로 판단 - 다만 신규수주가 2Q24 600억원에서 하반기로 갈수록 증가할 것으로 전망됨에 따라 수주 모멘텀 증가에 따른 주가 상승 기대 ",NULL,현대차증권,19000,2024-08-13,19000,2024-08-13,4,4,4,4,22625,18000,27000,17500,23000,0.61607,0.04263,2024-08-13,4,4,0,0,4,0,0
259960,크래프톤,2024-08-13,331000,293000,331000,0.12969,0.129692833,958006,2024-08-13,"<b>Buy </b><b>TP 410,000 원 </b><b>크래프톤 </b><b>259960 </b><b>이익 성장은 수요 증가를 쫓아갈 뿐 </b><b>2Q24 Review: 매출 & 영업이익 컨센서스 상회 </b>2Q24 매출은 7,070억원(YoY +82.7%, QoQ +6.2%), 영업이익은 3,321억원(YoY +152.6%, QoQ +7.0%)로 컨센서스(매출 5,496억원, 영익 1,988억원)를 큰 폭으로 상회. PC 매출은 높아진 트래픽(1H24 MAU YoY +40%, PU +130%)을 바탕으로 에란겔 클래식 및 뉴진스 콜라보레이션 등 컨텐츠 업데이트를 통해 1,913억원(QoQ -21.5%, YoY +63.5%), 모바일 매출은 PUBG 모바일 글로벌 트래픽(1H24 DAU YoY +30%, PU +40%) 증가를 기반으로 4,999억원(QoQ +24.3%, YoY +104.2%) 기록. 모바일 매출의 경우 견조한 PUBG 서비스 성과에 따른 비정기적 수익 인식 추정. 영업비용 중 앱수수료/매출원가는 PUBG PC 매출 증가와 BGMI 서비스 재개로 775억원(YoY +141.0%, 매출 대비 11.0%), 인건비는 신작 준비와 PUBG 프랜차이즈를 위한 개발 인력 채용으로 1,296억원(YoY +25.6%), 지급수수료는 이스포츠 대회 개최와 신작 관련 외주개발비 반영으로 764억원(YoY +8.3%) 기록. 마케팅비는 PUBG PC 및 BGMI 마케팅 캠페인 진행, 신작 마케팅비 증가로 YoY +145.1% 증가한 212억원 기록. <b>투자의견 Buy 유지 & 목표주가 410,000원으로 상향 </b>투자의견 Buy 유지 및 목표주가 410,000원(종전 370,000원)으로 상향. 목표주가 상향은 PUBG PC 및 모바일의 트래픽 및 이익 성장성과 신작 예상 성과를 반영해 12MF 지배주주순이익 추정치 1.1조원, target PER 17.7배를 적용함에 따름. 1H24 PC 및 모바일 PUBG의 트래픽과 매출 증가를 통해 IP 가치를 입증하고 있는 만큼,중기 성장 전략 중 가장 중요한 ‘PUBG IP 프랜차이즈 확장’ 성공 가능성이 재차 높아진 것으로 판단. PUBG IP 프랜차이즈 확장은 1) 프로덕트의 확장(공급 확대)과 2) 유저층의 확장(수요 증가)이 맞물려야 가능하며, 현재의 성장은 더욱 난이도가 높은 수요의 확대에 기인한 것으로 향후 이익 성장 기여 가능성이 큰 것으로 판단. ",NULL,교보증권,410000,2024-08-13,370000,2024-08-13,4,4,4,4,391578.9474,329500,470000,290000,400000,0.18302,0.13761,2024-08-13,19,19,15,0,4,0,15
259960,크래프톤,2024-08-13,331000,293000,331000,0.12969,0.129692833,958025,2024-08-13,"<b>크래프톤 (259960) </b><b>성장판이 열렸다 </b>동사의 2Q24 실적은 시장과 당사 추정치를 큰 폭 상회하며 역대급 서프라이즈를 시현했습니다. 국내 게임사 유일하게 라이브 게임 매출이 빠지지 않고 크게 반등하는데, 공백이던 신작 출시까지 임박했습니다. 업종 최선호주 의견을 유지합니다. <b>2분기 실적은 시장과 당사 추정치 대폭 상회 </b>동사의 2분기 실적은 매출액 7070억 원, 영업이익 3321억 원을 기록하며 영업이익 시장 기대치를 67% 상회했다. 비수기임에도 불구 펍지 매출이 PC 모바일 모두 예상치를 크게 상회하는 건강한 호실적이다. PC 매출액은 YoY 63.5%나 증가한 1913억 원을 기록했다. 4Q23 론도맵 업데이트 이후 높아진 트래픽이 에란겔 클래식 맵 및 뉴진스 이벤트 효과와 맞물려 큰 폭 성장했다. 모바일 매출액도 YoY 104% 성장한 4999억 원을 기록했다. 전반적 국가 모두 ARPU, PU 지표가 성장하면서 사상 최대 매출을 기록했다. 지급수수료와 광고선전비가 QoQ 각각 24.7%, 71.2% 증가했음에도 OPM은 47%까지 높아졌다. <b>두가지 근거로 재차 추정치 상향 </b>우리는 동사의 3분기 영업이익으로 YoY 25.3% 증가한 2371억 원을 전망한다. 2분기 호실적과 함께 하반기 추정치 상향이 나타날 것이라고 예상했던 수준 대비 큰폭 상향 조정했다. 근거는 두가지다. 현재 펍지 PC 트래픽은 전년 대비 50% 이상 수준의 MAU를 기록하고 있는 것으로 파악되며, 리텐션이 높다는 것은 하반기에도 예정된 적극적인 유료화를 통한 매출 증가 가능성을 기대할 수 있는 부분이다. 또한 모바일 매출도 유료화 모델의 고도화를 통한 전 지역 현지화 콘텐츠 성과가 트래픽과 매출에 기여할 것으로 예상하기 때문이다. 단기적 모멘텀은 다음주 게임스컴에서 일부 플레이될 신작 인조이다. <b>목표주가 41만 원으로 상향하고 투자의견 BUY 유지 </b>동사에 대한 목표주가를 41만 원으로 상향한다. PC와 모바일 호조세를반영해 올해 예상 영업이익 전망치를 기존 대비 21% 상향했다. IP사이클 장기화 프리미엄을 반영해 P/E 목표배수를 19배에서 20배로 높여 적용했다. 성장이 둔화된 업종 내 종목 들 중 상대적으로 투자 매력도가 높은 것이 아니라 절대적으로 높다. 국내 게임사 유일하게 기존 라이브 게임 매출이 빠지지 않고 반등하는데, 신작 출시까지 임박했다. 업종 최선호주 의견을 유지한다. <b>[ 재무제표 ] </b>",NULL,한화투자증권,410000,2024-08-13,340000,2024-08-13,4,4,4,4,391578.9474,329500,470000,290000,400000,0.18302,0.13761,2024-08-13,19,19,15,0,4,0,15
